,年収平均額(万円),,年収平均額(万円)
保育士経験無の就業時希望額全体,295.1,過去経験者の再就業時希望額全体,255.8
正規職員雇用のみ希望者の希望額,321.4,同左,307.3
パート・非常勤雇用のみ希望者の希望額,190.6,同左,154.9
