保育士・幼稚園教諭の経験,回答(%)
現在保育士就業中,53.4
過去保育士就業経験有,18.7
保育士就業経験無（幼稚園経験有）,8.9
保育士就業経験無（幼稚園経験無）,16.9
無回答,2.1
