,今後も保育士として働き続けたい(%),今後は保育士を辞め保育士以外の職種で働きたい(%),今後は保育士を辞め働かないつもりだ(%),無回答(%),サンプル数
TOTAL,78.7,16,,3.2,8214
公設・公営,84.1,10.9,,,1884
公設・民営,78.8,15.8,,,751
民設・民営（社会福祉法人）,76.3,18.5,,3.2,3163
民設・民営（株式会社）,76.6,18.6,,,1405
民設・民営（ＮＰＯ法人）,78.8,14.3,,5.3,245
民設・民営（個人）,81.1,12.9,,3.4,502
