,１年以下(%),２～３年(%),４～５年(%),６～９年(%),１０～１９年(%),２０年以上(%),無回答(%),サンプル数,平均
TOTAL,21.7,27.2,20.8,12.4,13.6,,,8214,5.1
正規職員,22.6,31.5,23.1,8.2,11.2,,,4702,4.6
有期契約職員フルタイム,20.9,24.6,20.1,14.8,15.3,,,886,5.4
有期契約職員パートタイム,20.5,20.3,16.8,19.4,17.2,,3.1,2536,5.9
