,１年以下(%),２～３年(%),４～５年(%),６～９年(%),１０年以上(%),無回答(%),サンプル数,平均
TOTAL,18.2,29.8,20.1,10.5,6,15.4,8214,4
正規職員,17.2,31.2,19.6,8.3,5.9,17.7,4702,3.9
有期契約職員フルタイム,20.9,30.4,19.1,12.2,5.1,12.4,886,3.8
有期契約職員パートタイム,19.2,27.2,21.2,14.1,6.7,11.7,2536,4.2
