項目(単位：人、％）,合計,65歳以上,65歳未満
合計／人数,843,475,368
合計／割合,100,57.4,42.6
都内／人数,603,316,287
都内／割合,100,52.3,47.7
都外／人数,240,159,81
都外／割合,100,69.3,30.7
