,区部(%),市部(%),町村部(%),島しょ部(%),東京都以外(%),無回答(%),サンプル数
TOTAL,48.9,36.4,,,12.8,,15369
現在保育士就業中,49.7,38.7,,,9.8,,8214
過去保育士就業経験有,43.6,35,,,19.6,,2871
保育士就業経験無,51.1,32.9,,,14.2,,3969
