,保育士又は幼稚園教諭経験有／現在保育士就業中(%),保育士又は幼稚園教諭経験有／過去保育士就業経験有(%),保育士又は幼稚園教諭経験有／保育士就業経験無（幼稚園経験有）(%),保育士就業経験無（幼稚園経験無）(%),無回答(%),サンプル数
TOTAL,53.4,18.7,8.9,16.9,,15369
指定保育士養成施設卒（専門・短大・大学等）,57.2,20.5,10.2,10.1,,11398
保育士試験,42.8,13.4,5,36.8,,3833
