,正規職員(%),有期契約職員フルタイム(%),有期契約職員パートタイム(%),無回答(%),サンプル数
TOTAL,57.2,10.8,30.9,,8214
専門（専修）学校の保育士養成課程,56.5,11.8,30.3,,2140
短期大学の保育士養成課程,56.7,8.8,33.3,,2934
大学の保育士養成課程,84.5,6.8,8.2,,1362
その他養成施設の保育士養成課程,39.7,15.4,43.6,,78
通信教育等で学んだ後、保育士試験,37.9,15.8,45.2,,1640
