"","正規職員(%)","有期契約職員フルタイム(%)","有期契約職員パートタイム(%)","無回答(%)","サンプル数"
"TOTAL","50.1","13.4","28.8","7.6","2871"
"専門（専修）学校の保育士養成課程","57.0","11.3","24.1","7.6","868"
"短期大学の保育士養成課程","51.0","13.4","27.5","8.0","1205"
"大学の保育士養成課程","63.3","16.4","15.0","5.3","226"
"その他養成施設の保育士養成課程","53.5","18.6","25.6","","43"
"通信教育等で学んだ後、保育士試験","30.5","15.0","46.3","8.2","512"
