,H23.4,H24.4,H25.4,H26.4,H27.4,H28.4
保育サービス利用率(%),33.2,34.6,36,37.6,39.3,41.1
就学前児童人口(人),609128,615228,619557,625347,630419,637329
出生数(人),106027,107401,109986,110629,113194,
保育サービス利用児童数(人),202422,212641,223334,234911,247513,261705
待機児童数(人),8890,10219,10693,11577,12602,14192
