平成29年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1579,1455,1536,2991
下連雀２丁目,1807,1714,1758,3472
下連雀３丁目,5987,4631,5250,9881
下連雀４丁目,3365,2997,3232,6229
下連雀５丁目,1824,1771,2228,3999
下連雀６丁目,2089,2019,2125,4144
下連雀７丁目,2281,2272,2577,4849
下連雀８丁目,1546,1748,1897,3645
下連雀９丁目,1989,2403,2543,4946
小計,22467,21010,23146,44156
牟礼１丁目,1082,999,1045,2044
牟礼２丁目,1992,1822,1994,3816
牟礼３丁目,1053,1148,1049,2197
牟礼４丁目,1532,1632,1704,3336
牟礼５丁目,1347,1302,1346,2648
牟礼６丁目,2874,3238,3309,6547
牟礼７丁目,891,967,914,1881
小計,10771,11108,11361,22469
井の頭１丁目,2584,2196,2398,4594
井の頭２丁目,2124,1621,1871,3492
井の頭３丁目,1294,1108,1266,2374
井の頭４丁目,1110,1054,1043,2097
井の頭５丁目,1696,1657,1634,3291
小計,8808,7636,8212,15848
中原１丁目,2130,2018,2209,4227
中原２丁目,1454,1497,1550,3047
中原３丁目,1473,1526,1596,3122
中原４丁目,1928,2025,2113,4138
小計,6985,7066,7468,14534
北野１丁目,647,698,741,1439
北野２丁目,930,1024,1022,2046
北野３丁目,903,1037,996,2033
北野４丁目,981,966,961,1927
小計,3461,3725,3720,7445
新川１丁目,1036,1083,1089,2172
新川２丁目,705,741,772,1513
新川３丁目,1017,1046,1030,2076
新川４丁目,1636,1610,1759,3369
新川５丁目,1368,1241,1369,2610
新川６丁目,2584,2336,2156,4492
小計,8346,8057,8175,16232
上連雀１丁目,1821,1600,1530,3130
上連雀２丁目,1356,1139,1200,2339
上連雀３丁目,905,777,778,1555
上連雀４丁目,1679,1598,1568,3166
上連雀５丁目,1468,1377,1380,2757
上連雀６丁目,1510,1443,1587,3030
上連雀７丁目,1405,1417,1516,2933
上連雀８丁目,1578,1684,1854,3538
上連雀９丁目,1487,1571,1594,3165
小計,13209,12606,13007,25613
井口１丁目,1756,1932,1887,3819
井口２丁目,1096,1244,1327,2571
井口３丁目,979,999,1113,2112
井口４丁目,1417,1502,1495,2997
井口５丁目,478,468,508,976
小計,5726,6145,6330,12475
深大寺１丁目,784,832,829,1661
深大寺２丁目,2068,2204,1943,4147
深大寺３丁目,1101,1124,1015,2139
小計,3953,4160,3787,7947
野崎１丁目,569,520,584,1104
野崎２丁目,1212,1267,1237,2504
野崎３丁目,982,1119,1096,2215
野崎４丁目,324,391,285,676
小計,3087,3297,3202,6499
大沢１丁目,1336,1482,1414,2896
大沢２丁目,928,991,971,1962
大沢３丁目,989,867,946,1813
大沢４丁目,1323,1401,1481,2882
大沢５丁目,861,1032,1043,2075
大沢６丁目,755,768,774,1542
小計,6192,6541,6629,13170
合計,93005,91351,95037,186388
平成29年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1578,1452,1533,2985
下連雀２丁目,1813,1720,1766,3486
下連雀３丁目,5988,4626,5258,9884
下連雀４丁目,3368,2993,3232,6225
下連雀５丁目,1824,1777,2227,4004
下連雀６丁目,2092,2020,2133,4153
