令和3年12月1日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1466 ,1561 ,3027 ,1629 
下連雀２丁目,1673 ,1737 ,3410 ,1846 
下連雀３丁目,4927 ,5498 ,10425 ,6378 
下連雀４丁目,3009 ,3274 ,6283 ,3437 
下連雀５丁目,2690 ,3193 ,5883 ,2555 
下連雀６丁目,2169 ,2294 ,4463 ,2213 
下連雀７丁目,2450 ,2760 ,5210 ,2434 
下連雀８丁目,1752 ,1896 ,3648 ,1589 
下連雀９丁目,2342 ,2466 ,4808 ,2000 
小計,22478 ,24679 ,47157 ,24081 
牟礼１丁目,1036 ,1106 ,2142 ,1148 
牟礼２丁目,1812 ,1988 ,3800 ,2016 
牟礼３丁目,1195 ,1113 ,2308 ,1089 
牟礼４丁目,1609 ,1675 ,3284 ,1527 
牟礼５丁目,1388 ,1370 ,2758 ,1364 
牟礼６丁目,3126 ,3338 ,6464 ,2873 
牟礼７丁目,928 ,909 ,1837 ,879 
小計,11094 ,11499 ,22593 ,10896 
井の頭１丁目,2336 ,2524 ,4860 ,2761 
井の頭２丁目,1595 ,1743 ,3338 ,2024 
井の頭３丁目,1089 ,1255 ,2344 ,1275 
井の頭４丁目,1053 ,1043 ,2096 ,1132 
井の頭５丁目,1647 ,1694 ,3341 ,1735 
小計,7720 ,8259 ,15979 ,8927 
中原１丁目,2057 ,2249 ,4306 ,2215 
中原２丁目,1579 ,1617 ,3196 ,1504 
中原３丁目,1505 ,1632 ,3137 ,1528 
中原４丁目,2025 ,2148 ,4173 ,1960 
小計,7166 ,7646 ,14812 ,7207 
北野１丁目,770 ,814 ,1584 ,737 
北野２丁目,1035 ,1050 ,2085 ,943 
北野３丁目,1041 ,1035 ,2076 ,951 
北野４丁目,986 ,1006 ,1992 ,1056 
小計,3832 ,3905 ,7737 ,3687 
新川１丁目,1063 ,1082 ,2145 ,1033 
新川２丁目,757 ,817 ,1574 ,762 
新川３丁目,1022 ,1024 ,2046 ,1024 
新川４丁目,1595 ,1737 ,3332 ,1675 
新川５丁目,1243 ,1323 ,2566 ,1373 
新川６丁目,2201 ,2085 ,4286 ,2483 
小計,7881 ,8068 ,15949 ,8350 
上連雀１丁目,1610 ,1599 ,3209 ,1874 
上連雀２丁目,1175 ,1192 ,2367 ,1394 
上連雀３丁目,936 ,889 ,1825 ,1059 
上連雀４丁目,1634 ,1620 ,3254 ,1718 
上連雀５丁目,1369 ,1372 ,2741 ,1461 
上連雀６丁目,1423 ,1608 ,3031 ,1569 
上連雀７丁目,1427 ,1504 ,2931 ,1447 
上連雀８丁目,1661 ,1777 ,3438 ,1596 
上連雀９丁目,1515 ,1610 ,3125 ,1480 
小計,12750 ,13171 ,25921 ,13598 
井口１丁目,1920 ,1869 ,3789 ,1812 
井口２丁目,1210 ,1315 ,2525 ,1128 
井口３丁目,1063 ,1180 ,2243 ,1081 
井口４丁目,1588 ,1578 ,3166 ,1522 
井口５丁目,449 ,490 ,939 ,494 
小計,6230 ,6432 ,12662 ,6037 
深大寺１丁目,924 ,953 ,1877 ,866 
深大寺２丁目,2215 ,1912 ,4127 ,2104 
深大寺３丁目,1120 ,1019 ,2139 ,1135 
小計,4259 ,3884 ,8143 ,4105 
野崎１丁目,508 ,538 ,1046 ,536 
野崎２丁目,1233 ,1236 ,2469 ,1221 
野崎３丁目,1177 ,1192 ,2369 ,1035 
野崎４丁目,322 ,294 ,616 ,281 
小計,3240 ,3260 ,6500 ,3073 
大沢１丁目,1441 ,1422 ,2863 ,1294 
大沢２丁目,994 ,961 ,1955 ,948 
大沢３丁目,809 ,905 ,1714 ,912 
大沢４丁目,1472 ,1579 ,3051 ,1441 
大沢５丁目,1048 ,1062 ,2110 ,894 
大沢６丁目,784 ,776 ,1560 ,800 
小計,6548 ,6705 ,13253 ,6289 
合計,93198 ,97508 ,190706 ,96250 
令和３年11月1日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1470,1566,3036,1634
下連雀２丁目,1662,1742,3404,1845
下連雀３丁目,4897,5497,10394,6358
下連雀４丁目,3022,3293,6315,3459
下連雀５丁目,2688,3181,5869,2556
下連雀６丁目,2178,2300,4478,2218
下連雀７丁目,2438,2748,5186,2426
下連雀８丁目,1756,1901,3657,1596
下連雀９丁目,2327,2456,4783,1990
小計,22438,24684,47122,24082
牟礼１丁目,1040,1115,2155,1155
牟礼２丁目,1805,1985,3790,2014
牟礼３丁目,1202,1116,2318,1093
牟礼４丁目,1611,1682,3293,1531
牟礼５丁目,1382,1361,2743,1363
牟礼６丁目,3146,3338,6484,2887
牟礼７丁目,936,912,1848,887
小計,11122,11509,22631,10930
井の頭１丁目,2338,2527,4865,2765
井の頭２丁目,1578,1737,3315,2022
井の頭３丁目,1094,1251,2345,1284
井の頭４丁目,1052,1045,2097,1132
井の頭５丁目,1648,1696,3344,1738
小計,7710,8256,15966,8941
中原１丁目,2059,2255,4314,2223
中原２丁目,1578,1614,3192,1504
中原３丁目,1503,1616,3119,1520
中原４丁目,2030,2155,4185,1964
小計,7170,7640,14810,7211
北野１丁目,769,812,1581,731
北野２丁目,1029,1046,2075,940
北野３丁目,1040,1039,2079,948
北野４丁目,983,1009,1992,1056
小計,3821,3906,7727,3675
新川１丁目,1060,1080,2140,1028
新川２丁目,758,823,1581,763
新川３丁目,1021,1032,2053,1031
新川４丁目,1598,1739,3337,1678
新川５丁目,1243,1323,2566,1374
新川６丁目,2202,2088,4290,2488
小計,7882,8085,15967,8362
上連雀１丁目,1609,1595,3204,1876
上連雀２丁目,1180,1200,2380,1396
上連雀３丁目,936,884,1820,1049
上連雀４丁目,1630,1611,3241,1716
上連雀５丁目,1365,1370,2735,1458
上連雀６丁目,1431,1603,3034,1569
上連雀７丁目,1411,1490,2901,1434
上連雀８丁目,1668,1785,3453,1603
上連雀９丁目,1513,1618,3131,1487
小計,12743,13156,25899,13588
井口１丁目,1930,1873,3803,1813
井口２丁目,1215,1320,2535,1133
井口３丁目,1059,1182,2241,1085
井口４丁目,1569,1570,3139,1508
井口５丁目,452,493,945,497
小計,6225,6438,12663,6036
深大寺１丁目,927,953,1880,865
深大寺２丁目,2213,1909,4122,2103
深大寺３丁目,1122,1019,2141,1135
小計,4262,3881,8143,4103
野崎１丁目,507,540,1047,538
野崎２丁目,1232,1232,2464,1215
野崎３丁目,1166,1176,2342,1027
野崎４丁目,322,295,617,281
小計,3227,3243,6470,3061
大沢１丁目,1442,1420,2862,1294
大沢２丁目,997,964,1961,951
大沢３丁目,811,904,1715,915
大沢４丁目,1472,1580,3052,1441
大沢５丁目,1048,1071,2119,896
大沢６丁目,786,775,1561,800
小計,6556,6714,13270,6297
合計,93156,97512,190668,96286
