令和3年12月1日現在,,,
年齢,男,女　,合計
0,716,599,1315
1,704,713,1417
2,769,674,1443
3,870,763,1633
4,800,772,1572
5,918,848,1766
6,879,814,1693
7,880,820,1700
8,884,851,1735
9,821,784,1605
10,916,823,1739
11,816,839,1655
12,861,822,1683
13,854,788,1642
14,790,728,1518
15,774,777,1551
16,806,742,1548
17,768,731,1499
18,789,764,1553
19,949,880,1829
20,904,944,1848
21,978,1049,2027
22,1097,1080,2177
23,1209,1193,2402
24,1145,1248,2393
25,1200,1216,2416
26,1124,1123,2247
27,1196,1177,2373
28,1140,1105,2245
29,1180,1155,2335
30,1117,1076,2193
31,1128,1110,2238
32,1141,1097,2238
33,1247,1275,2522
34,1217,1200,2417
35,1284,1251,2535
36,1321,1323,2644
37,1370,1387,2757
38,1459,1336,2795
39,1421,1333,2754
40,1416,1432,2848
41,1446,1403,2849
42,1457,1464,2921
43,1543,1530,3073
44,1450,1515,2965
45,1484,1544,3028
46,1526,1512,3038
47,1567,1612,3179
48,1723,1649,3372
49,1627,1649,3276
50,1662,1645,3307
51,1573,1596,3169
52,1620,1588,3208
53,1522,1523,3045
54,1532,1531,3063
55,1145,1164,2309
56,1574,1464,3038
57,1420,1233,2653
58,1260,1251,2511
59,1246,1195,2441
60,1125,1055,2180
61,1029,1069,2098
62,1074,1010,2084
63,955,958,1913
64,878,912,1790
65,861,901,1762
66,785,866,1651
67,875,858,1733
68,852,901,1753
69,858,885,1743
70,933,955,1888
71,977,1056,2033
72,1070,1187,2257
73,1050,1281,2331
74,988,1215,2203
75,653,777,1430
76,619,756,1375
77,758,931,1689
78,709,942,1651
79,677,934,1611
80,654,915,1569
81,564,833,1397
82,448,773,1221
83,463,695,1158
84,465,744,1209
85,416,756,1172
86,391,630,1021
87,314,585,899
88,293,502,795
89,274,558,832
90,218,487,705
91,212,394,606
92,142,328,470
93,116,289,405
94,88,214,302
95,63,180,243
96,51,139,190
97,28,109,137
98,13,72,85
99,13,48,61
100,5,39,44
101,2,27,29
102,0,9,9
103,2,13,15
104,0,4,4
105,0,3,3
106,2,1,3
107,0,2,2
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114以上,0,0,0
計,93198,97508,190706
令和3年11月1日現在,,,
年齢,男,女　,合計
0,693,605,1298
1,719,704,1423
2,789,682,1471
3,861,776,1637
4,803,779,1582
5,914,827,1741
6,873,808,1681
7,889,834,1723
8,878,856,1734
9,809,786,1595
10,934,814,1748
11,802,857,1659
12,861,792,1653
13,848,783,1631
14,795,727,1522
15,787,791,1578
16,793,721,1514
17,762,734,1496
18,796,772,1568
19,949,886,1835
20,920,969,1889
21,989,1023,2012
22,1100,1116,2216
23,1187,1188,2375
24,1168,1262,2430
25,1171,1219,2390
26,1171,1129,2300
27,1163,1174,2337
28,1123,1120,2243
29,1213,1143,2356
30,1089,1098,2187
31,1128,1090,2218
32,1119,1110,2229
33,1256,1261,2517
34,1203,1208,2411
35,1293,1251,2544
36,1317,1340,2657
37,1399,1354,2753
38,1471,1350,2821
39,1407,1334,2741
40,1417,1415,2832
41,1450,1416,2866
42,1462,1485,2947
43,1522,1528,3050
44,1463,1499,2962
45,1491,1555,3046
46,1509,1499,3008
47,1608,1654,3262
48,1685,1607,3292
49,1648,1662,3310
50,1641,1662,3303
51,1568,1586,3154
52,1636,1582,3218
53,1521,1525,3046
54,1512,1494,3006
55,1183,1193,2376
56,1531,1444,2975
57,1435,1235,2670
58,1255,1238,2493
59,1232,1199,2431
60,1112,1064,2176
61,1028,1056,2084
62,1085,1006,2091
63,950,958,1908
64,872,922,1794
65,850,893,1743
66,798,858,1656
67,870,870,1740
68,854,894,1748
69,864,884,1748
70,946,963,1909
71,981,1069,2050
72,1065,1205,2270
73,1053,1259,2312
74,985,1212,2197
75,625,732,1357
76,637,778,1415
77,768,955,1723
78,689,933,1622
79,693,943,1636
80,650,901,1551
81,564,834,1398
82,428,751,1179
83,485,723,1208
84,456,733,1189
85,410,758,1168
86,386,616,1002
87,317,593,910
88,299,500,799
89,271,544,815
90,226,496,722
91,205,382,587
92,145,332,477
93,109,288,397
94,93,214,307
95,62,178,240
96,52,140,192
97,26,108,134
98,12,72,84
99,13,44,57
100,4,39,43
101,3,27,30
102,2,9,11
103,0,14,14
104,0,4,4
105,0,3,3
106,2,2,4
107,0,2,2
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114以上,0,0,0
計,93156,97512,190668
