平成30年12月１日現在,,,,
年齢,計,男,女,
総計　　　,187312,91682,95630,
　０～４　,7915,4110,3805,
0,1518,793,725,
1,1498,766,732,
2,1628,861,767,
3,1626,850,776,
4,1645,840,805,
　５～９　,8180,4210,3970,
5,1650,856,794,
6,1571,804,767,
7,1702,900,802,
8,1600,792,808,
9,1657,858,799,
１０～１４,7534,3896,3638,
10,1588,844,744,
11,1480,777,703,
12,1517,756,761,
13,1503,785,718,
14,1446,734,712,
１５～１９,8090,4107,3983,
15,1444,744,700,
16,1575,817,758,
17,1496,730,766,
18,1660,834,826,
19,1915,982,933,
２０～２４,11159,5486,5673,
20,2098,1035,1063,
21,2061,1004,1057,
22,2184,1054,1130,
23,2350,1152,1198,
24,2466,1241,1225,
２５～２９,11469,5774,5695,
25,2290,1159,1131,
26,2392,1186,1206,
27,2263,1137,1126,
28,2202,1128,1074,
29,2322,1164,1158,
３０～３４,12291,6234,6057,
30,2390,1236,1154,
31,2325,1177,1148,
32,2378,1215,1163,
33,2514,1270,1244,
34,2684,1336,1348,
３５～３９,13896,7001,6895,
35,2718,1367,1351,
36,2695,1374,1321,
37,2742,1375,1367,
38,2784,1396,1388,
39,2957,1489,1468,
４０～４４,15008,7513,7495,
40,2914,1455,1459,
41,2965,1481,1484,
42,2989,1491,1498,
43,2972,1511,1461,
44,3168,1575,1593,
４５～４９,16235,8149,8086,
45,3330,1695,1635,
46,3252,1611,1641,
47,3292,1660,1632,
48,3151,1561,1590,
49,3210,1622,1588,
５０～５４,14160,7256,6904,
50,3045,1540,1505,
51,3093,1552,1541,
52,2319,1165,1154,
53,3045,1583,1462,
54,2658,1416,1242,
５５～５９,11499,5852,5647,
55,2531,1276,1255,
56,2468,1247,1221,
57,2225,1150,1075,
58,2141,1068,1073,
59,2134,1111,1023,
６０～６４,9148,4556,4592,
60,1985,994,991,
61,1855,923,932,
62,1787,880,907,
63,1732,848,884,
64,1789,911,878,
６５～６９,9993,4942,5051,
65,1843,915,928,
66,1800,898,902,
67,1933,985,948,
68,2085,1014,1071,
69,2332,1130,1202,
７０～７４,9448,4361,5087,
70,2406,1099,1307,
71,2312,1059,1253,
72,1499,706,793,
73,1464,679,785,
74,1767,818,949,
７５～７９,7997,3435,4562,
75,1766,809,957,
76,1715,748,967,
77,1667,715,952,
78,1533,660,873,
79,1316,503,813,
８０～８４,6234,2474,3760,
80,1280,540,740,
81,1345,542,803,
82,1341,502,839,
83,1199,476,723,
84,1069,414,655,
８５～８９,4358,1571,2787,
85,983,382,601,
86,1048,375,673,
87,885,301,584,
88,793,294,499,
89,649,219,430,
９０～９４,2067,640,1427,
90,584,194,390,
91,474,150,324,
92,411,128,283,
93,336,101,235,
94,262,67,195,
９５～１０３,619,109,508,
95,192,37,155,
96,134,33,101,
97,101,13,88,
98,72,12,60,
99,39,7,32,
100,41,6,35,
101,18,0,18,
102,10,0,10,
103,12,3,9,
１０４以上,12,4,8,
不詳者　　,0,0,0,
平成30年11月１日現在,,,,
年齢,計,男,女,
総計　　　,187428,91737,95691,
　０～４　,7917,4096,3821,
0,1514,775,739,
1,1519,779,740,
2,1600,845,755,
3,1616,843,773,
4,1668,854,814,
　５～９　,8163,4205,3958,
5,1642,849,793,
6,1574,791,783,
7,1716,921,795,
8,1609,782,827,
9,1622,862,760,
１０～１４,7532,3892,3640,
10,1588,839,749,
11,1481,778,703,
12,1544,770,774,
13,1471,768,703,
14,1448,737,711,
１５～１９,8124,4115,4009,
15,1446,736,710,
16,1580,813,767,
17,1508,742,766,
18,1669,851,818,
19,1921,973,948,
２０～２４,11241,5519,5722,
20,2122,1046,1076,
21,2081,1003,1078,
22,2212,1063,1149,
23,2388,1194,1194,
24,2438,1213,1225,
２５～２９,11495,5804,5691,
25,2312,1170,1142,
26,2380,1178,1202,
27,2242,1136,1106,
28,2253,1157,1096,
29,2308,1163,1145,
３０～３４,12298,6237,6061,
30,2383,1236,1147,
31,2321,1163,1158,
32,2384,1225,1159,
33,2548,1274,1274,
34,2662,1339,1323,
３５～３９,13945,7019,6926,
35,2751,1385,1366,
36,2663,1349,1314,
37,2747,1383,1364,
38,2820,1419,1401,
39,2964,1483,1481,
４０～４４,15076,7551,7525,
40,2905,1446,1459,
41,2970,1498,1472,
42,2997,1490,1507,
43,2949,1498,1451,
44,3255,1619,1636,
４５～４９,16180,8128,8052,
45,3249,1649,1600,
46,3298,1644,1654,
47,3284,1634,1650,
48,3139,1559,1580,
49,3210,1642,1568,
５０～５４,14125,7238,6887,
50,3055,1532,1523,
51,3020,1532,1488,
52,2387,1201,1186,
53,2984,1543,1441,
54,2679,1430,1249,
５５～５９,11447,5822,5625,
55,2498,1264,1234,
56,2463,1237,1226,
57,2221,1143,1078,
58,2129,1064,1065,
59,2136,1114,1022,
６０～６４,9152,4558,4594,
60,1979,994,985,
61,1850,910,940,
62,1783,883,900,
63,1738,861,877,
64,1802,910,892,
６５～６９,10054,4967,5087,
65,1844,915,929,
66,1800,904,896,
67,1973,1005,968,
68,2099,1016,1083,
69,2338,1127,1211,
７０～７４,9427,4357,5070,
70,2399,1110,1289,
71,2295,1045,1250,
72,1429,680,749,
73,1501,696,805,
74,1803,826,977,
７５～７９,7946,3407,4539,
75,1738,790,948,
76,1744,757,987,
77,1668,726,942,
78,1520,650,870,
79,1276,484,792,
８０～８４,6278,2494,3784,
80,1342,571,771,
81,1328,533,795,
82,1335,502,833,
83,1187,471,716,
84,1086,417,669,
８５～８９,4349,1582,2767,
85,994,395,599,
86,1021,362,659,
87,905,313,592,
88,785,287,498,
89,644,225,419,
９０～９４,2053,633,1420,
90,569,181,388,
91,476,154,322,
92,413,128,285,
93,335,105,230,
94,260,65,195,
９５～１０３,613,109,504,
95,189,38,151,
96,133,31,102,
97,103,13,90,
98,72,12,60,
99,42,10,32,
100,36,2,34,
101,18,0,18,
102,7,0,7,
103,13,3,10,
１０４以上,13,4,9,
不詳者　　,0,0,0,
平成30年10月１日現在,,,,
年齢,計,男,女,
総計　　　,187351,91679,95672,
　０～４　,7915,4089,3826,
0,1480,758,722,
1,1541,790,751,
2,1582,834,748,
3,1632,841,791,
4,1680,866,814,
　５～９　,8157,4203,3954,
5,1615,832,783,
6,1606,816,790,
7,1681,895,786,
8,1647,803,844,
9,1608,857,751,
１０～１４,7536,3904,3632,
10,1553,820,733,
11,1512,796,716,
12,1540,770,770,
13,1445,752,693,
14,1486,766,720,
１５～１９,8125,4096,4029,
15,1426,717,709,
16,1569,803,766,
17,1522,753,769,
18,1680,853,827,
19,1928,970,958,
２０～２４,11229,5504,5725,
20,2161,1067,1094,
21,2068,1006,1062,
22,2213,1057,1156,
23,2387,1177,1210,
24,2400,1197,1203,
２５～２９,11487,5796,5691,
25,2325,1178,1147,
26,2388,1169,1219,
27,2234,1128,1106,
28,2239,1153,1086,
29,2301,1168,1133,
３０～３４,12326,6263,6063,
30,2378,1243,1135,
31,2329,1162,1167,
32,2410,1236,1174,
33,2551,1277,1274,
34,2658,1345,1313,
３５～３９,14018,7032,6986,
35,2730,1360,1370,
36,2704,1368,1336,
37,2733,1384,1349,
38,2880,1449,1431,
39,2971,1471,1500,
４０～４４,15083,7554,7529,
40,2876,1434,1442,
41,2984,1505,1479,
42,2981,1476,1505,
43,2979,1524,1455,
44,3263,1615,1648,
４５～４９,16168,8124,8044,
45,3256,1664,1592,
46,3304,1657,1647,
47,3234,1598,1636,
48,3157,1572,1585,
49,3217,1633,1584,
５０～５４,14111,7224,6887,
50,3021,1515,1506,
51,2987,1508,1479,
52,2476,1253,1223,
53,2917,1515,1402,
54,2710,1433,1277,
５５～５９,11368,5793,5575,
55,2486,1261,1225,
56,2396,1207,1189,
57,2228,1155,1073,
58,2140,1073,1067,
59,2118,1097,1021,
６０～６４,9147,4556,4591,
60,1955,980,975,
61,1843,918,925,
62,1791,877,914,
63,1740,867,873,
64,1818,914,904,
６５～６９,10091,4982,5109,
65,1832,915,917,
66,1798,915,883,
67,1990,1004,986,
68,2118,1027,1091,
