平成29年12月１日現在,,,
年齢,計,男,女
総計　　　,186388,91351,95037
　０～４　,8007,4122,3885
0,1492,754,738
1,1617,848,769
2,1639,837,802
3,1618,833,785
4,1641,850,791
　５～９　,8049,4165,3884
5,1571,807,764
6,1673,883,790
7,1590,796,794
8,1639,850,789
9,1576,829,747
１０～１４,7327,3767,3560
10,1460,767,693
11,1497,747,750
12,1492,786,706
13,1443,728,715
14,1435,739,696
１５～１９,8150,4118,4032
15,1557,812,745
16,1492,735,757
17,1536,787,749
18,1627,831,796
19,1938,953,985
２０～２４,10976,5444,5532
20,1973,973,1000
21,2076,1008,1068
22,2199,1053,1146
23,2418,1243,1175
24,2310,1167,1143
２５～２９,11666,5934,5732
25,2388,1203,1185
26,2266,1142,1124
27,2249,1151,1098
28,2346,1190,1156
29,2417,1248,1169
３０～３４,12685,6384,6301
30,2306,1164,1142
31,2365,1215,1150
32,2560,1304,1256
33,2701,1322,1379
34,2753,1379,1374
３５～３９,14205,7179,7026
35,2713,1393,1320
36,2783,1410,1373
37,2830,1424,1406
38,2962,1497,1465
39,2917,1455,1462
４０～４４,15431,7790,7641
40,2984,1499,1485
41,2973,1490,1483
42,2974,1526,1448
43,3141,1566,1575
44,3359,1709,1650
４５～４９,15942,8002,7940
45,3256,1627,1629
46,3280,1655,1625
47,3143,1552,1591
48,3198,1615,1583
49,3065,1553,1512
５０～５４,13666,7005,6661
50,3067,1538,1529
51,2321,1174,1147
52,3066,1587,1479
53,2663,1416,1247
54,2549,1290,1259
５５～５９,11012,5608,5404
55,2467,1249,1218
56,2236,1163,1073
57,2161,1073,1088
58,2150,1119,1031
59,1998,1004,994
６０～６４,9083,4528,4555
60,1858,928,930
61,1804,898,906
62,1759,859,900
63,1805,922,883
64,1857,921,936
６５～６９,10660,5200,5460
65,1817,908,909
66,1962,1005,957
67,2091,1010,1081
68,2354,1147,1207
69,2436,1130,1306
７０～７４,8907,4142,4765
70,2330,1075,1255
71,1528,727,801
72,1475,691,784
