令和2年12月1日現在,,,,
年齢,計,男,女,
総計　　　,190106,92957,97149,
　０～４　,7668,3997,3671,
0,1359,688,671,
1,1433,775,658,
2,1616,850,766,
3,1532,784,748,
4,1728,900,828,
　５～９　,8390,4327,4063,
5,1671,868,803,
6,1688,866,822,
7,1708,871,837,
8,1603,816,787,
9,1720,906,814,
１０～１４,7986,4079,3907,
10,1635,803,832,
11,1675,860,815,
12,1624,863,761,
13,1511,784,727,
14,1541,769,772,
１５～１９,7842,3997,3845,
15,1519,798,721,
16,1487,753,734,
17,1468,748,720,
18,1637,846,791,
19,1731,852,879,
２０～２４,11152,5486,5666,
20,1946,962,984,
21,2091,1048,1043,
22,2280,1132,1148,
23,2369,1118,1251,
24,2466,1226,1240,
２５～２９,11678,5896,5782,
25,2328,1162,1166,
26,2447,1229,1218,
27,2254,1131,1123,
28,2399,1219,1180,
29,2250,1155,1095,
３０～３４,11877,5969,5908,
30,2222,1113,1109,
31,2305,1172,1133,
32,2452,1215,1237,
33,2373,1188,1185,
34,2525,1281,1244,
３５～３９,13748,6964,6784,
35,2595,1301,1294,
36,2753,1375,1378,
37,2803,1456,1347,
38,2776,1429,1347,
39,2821,1403,1418,
４０～４４,14774,7389,7385,
40,2841,1449,1392,
41,2939,1472,1467,
42,3034,1533,1501,
43,2939,1446,1493,
44,3021,1489,1532,
４５～４９,16110,8105,8005,
45,2988,1504,1484,
46,3186,1575,1611,
47,3352,1720,1632,
48,3272,1632,1640,
49,3312,1674,1638,
５０～５４,14822,7420,7402,
50,3178,1583,1595,
51,3214,1617,1597,
52,3050,1532,1518,
53,3059,1530,1529,
54,2321,1158,1163,
５５～５９,12911,6676,6235,
55,3071,1587,1484,
56,2665,1425,1240,
57,2518,1269,1249,
58,2456,1246,1210,
59,2201,1149,1052,
６０～６４,9733,4858,4875,
60,2109,1044,1065,
61,2108,1089,1019,
62,1932,962,970,
63,1816,897,919,
64,1768,866,902,
６５～６９,8881,4391,4490,
65,1684,805,879,
66,1750,883,867,
67,1785,877,908,
68,1753,870,883,
69,1909,956,953,
７０～７４,10381,4819,5562,
70,2036,978,1058,
71,2283,1086,1197,
72,2360,1070,1290,
73,2244,1013,1231,
74,1458,672,786,
７５～７９,8074,3542,4532,
75,1405,640,765,
76,1715,778,937,
77,1686,735,951,
78,1658,711,947,
79,1610,678,932,
８０～８４,6388,2492,3896,
80,1447,598,849,
81,1257,468,789,
82,1197,488,709,
83,1256,493,763,
84,1231,445,786,
８５～８９,4609,1652,2957,
85,1090,422,668,
86,956,345,611,
87,859,320,539,
88,913,310,603,
89,791,255,536,
９０～９４,2324,741,1583,
90,655,230,425,
91,529,168,361,
92,472,140,332,
93,365,119,246,
94,303,84,219,
９５～１０３,744,155,589,
95,229,63,166,
96,168,33,135,
97,118,22,96,
98,82,21,61,
99,61,7,54,
100,39,4,35,
101,16,2,14,
102,24,3,21,
103,7,0,7,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和2年11月1日現在,,,,
年齢,計,男,女,
総計　　　,190168,93021,97147,
　０～４　,7685,4007,3678,
0,1352,694,658,
1,1479,804,675,
2,1597,828,769,
3,1554,794,760,
4,1703,887,816,
　５～９　,8412,4342,4070,
5,1662,867,795,
6,1715,878,837,
7,1710,869,841,
8,1592,800,792,
9,1733,928,805,
１０～１４,7990,4086,3904,
10,1637,789,848,
11,1647,869,778,
12,1619,855,764,
13,1517,790,727,
14,1570,783,787,
１５～１９,7861,4005,3856,
15,1490,785,705,
16,1488,753,735,
17,1471,744,727,
18,1654,855,799,
19,1758,868,890,
２０～２４,11181,5492,5689,
20,1939,969,970,
21,2115,1045,1070,
22,2275,1125,1150,
23,2400,1135,1265,
24,2452,1218,1234,
２５～２９,11688,5911,5777,
25,2362,1203,1159,
26,2404,1196,1208,
27,2263,1131,1132,
28,2416,1235,1181,
29,2243,1146,1097,
３０～３４,11884,5991,5893,
30,2251,1134,1117,
31,2296,1160,1136,
32,2453,1228,1225,
33,2336,1165,1171,
34,2548,1304,1244,
３５～３９,13741,6958,6783,
35,2600,1288,1312,
