平成30年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1592,1470,1552,3022
下連雀２丁目,1818,1676,1759,3435
下連雀３丁目,6010,4646,5275,9921
下連雀４丁目,3368,3004,3231,6235
下連雀５丁目,1823,1762,2201,3963
下連雀６丁目,2070,2009,2113,4122
下連雀７丁目,2275,2277,2553,4830
下連雀８丁目,1544,1737,1913,3650
下連雀９丁目,1993,2409,2542,4951
小計,22493,20990,23139,44129
牟礼１丁目,1107,1018,1078,2096
牟礼２丁目,1997,1826,2007,3833
牟礼３丁目,1079,1176,1072,2248
牟礼４丁目,1557,1645,1727,3372
牟礼５丁目,1337,1308,1352,2660
牟礼６丁目,2848,3187,3309,6496
牟礼７丁目,882,954,906,1860
小計,10807,11114,11451,22565
井の頭１丁目,2676,2286,2472,4758
井の頭２丁目,2119,1611,1862,3473
井の頭３丁目,1312,1118,1276,2394
井の頭４丁目,1142,1062,1077,2139
井の頭５丁目,1703,1655,1666,3321
小計,8952,7732,8353,16085
中原１丁目,2131,2007,2213,4220
中原２丁目,1464,1496,1542,3038
中原３丁目,1474,1515,1607,3122
中原４丁目,1932,2016,2130,4146
小計,7001,7034,7492,14526
北野１丁目,660,710,752,1462
北野２丁目,939,1024,1044,2068
北野３丁目,891,1031,972,2003
北野４丁目,1012,990,971,1961
小計,3502,3755,3739,7494
新川１丁目,1040,1081,1077,2158
新川２丁目,711,743,783,1526
新川３丁目,1007,1027,1028,2055
新川４丁目,1668,1624,1770,3394
新川５丁目,1369,1261,1356,2617
新川６丁目,2572,2285,2138,4423
小計,8367,8021,8152,16173
上連雀１丁目,1814,1598,1551,3149
上連雀２丁目,1337,1137,1173,2310
上連雀３丁目,913,781,793,1574
上連雀４丁目,1735,1644,1627,3271
上連雀５丁目,1467,1372,1371,2743
上連雀６丁目,1568,1466,1620,3086
上連雀７丁目,1395,1400,1507,2907
上連雀８丁目,1580,1685,1842,3527
上連雀９丁目,1479,1547,1598,3145
小計,13288,12630,13082,25712
井口１丁目,1779,1948,1915,3863
井口２丁目,1118,1250,1342,2592
井口３丁目,1012,1026,1130,2156
井口４丁目,1460,1522,1530,3052
井口５丁目,469,459,502,961
小計,5838,6205,6419,12624
深大寺１丁目,800,842,846,1688
深大寺２丁目,2079,2204,1922,4126
深大寺３丁目,1116,1119,1015,2134
小計,3995,4165,3783,7948
野崎１丁目,585,544,612,1156
野崎２丁目,1210,1258,1224,2482
野崎３丁目,1017,1177,1155,2332
野崎４丁目,323,390,288,678
小計,3135,3369,3279,6648
大沢１丁目,1349,1491,1415,2906
大沢２丁目,947,1014,984,1998
大沢３丁目,1063,904,996,1900
大沢４丁目,1378,1458,1541,2999
大沢５丁目,856,1020,1040,2060
大沢６丁目,773,780,765,1545
小計,6366,6667,6741,13408
合計,93744,91682,95630,187312
平成30年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1596,1474,1553,3027
下連雀２丁目,1822,1677,1761,3438
下連雀３丁目,6015,4638,5291,9929
下連雀４丁目,3367,3000,3228,6228
下連雀５丁目,1817,1763,2188,3951
下連雀６丁目,2060,2003,2102,4105
下連雀７丁目,2281,2281,2559,4840
下連雀８丁目,1548,1740,1914,3654
下連雀９丁目,1992,2413,2539,4952
小計,22498,20989,23135,44124
牟礼１丁目,1112,1023,1082,2105
牟礼２丁目,2007,1834,2022,3856
牟礼３丁目,1078,1181,1066,2247
牟礼４丁目,1560,1647,1727,3374
牟礼５丁目,1341,1303,1347,2650
牟礼６丁目,2844,3196,3307,6503
牟礼７丁目,882,952,906,1858
小計,10824,11136,11457,22593
井の頭１丁目,2675,2286,2474,4760
井の頭２丁目,2120,1607,1866,3473
井の頭３丁目,1311,1119,1275,2394
井の頭４丁目,1133,1056,1072,2128
井の頭５丁目,1711,1660,1670,3330
小計,8950,7728,8357,16085
中原１丁目,2140,2008,2218,4226
中原２丁目,1454,1493,1539,3032
中原３丁目,1481,1519,1611,3130
中原４丁目,1940,2023,2137,4160
小計,7015,7043,7505,14548
北野１丁目,661,710,753,1463
北野２丁目,943,1023,1044,2067
北野３丁目,897,1040,980,2020
