令和3年10月1日現在,,,,
年齢,計,男,女,
総計　　　,190794,93204,97590,
　０～４　,7478,3890,3588,
0,1323,689,634,
1,1425,730,695,
2,1499,803,696,
3,1613,844,769,
4,1618,824,794,
　５～９　,8473,4364,4109,
5,1723,910,813,
6,1682,865,817,
7,1760,906,854,
8,1689,858,831,
9,1619,825,794,
１０～１４,8207,4233,3974,
10,1711,912,799,
11,1697,820,877,
12,1645,858,787,
13,1611,837,774,
14,1543,806,737,
１５～１９,7993,4082,3911,
15,1576,786,790,
16,1487,780,707,
17,1526,781,745,
18,1574,792,782,
19,1830,943,887,
２０～２４,10990,5413,5577,
20,1922,938,984,
21,2013,986,1027,
22,2257,1116,1141,
23,2393,1201,1192,
24,2405,1172,1233,
２５～２９,11622,5817,5805,
25,2382,1170,1212,
26,2308,1152,1156,
27,2336,1168,1168,
28,2235,1126,1109,
29,2361,1201,1160,
３０～３４,11615,5834,5781,
30,2205,1110,1095,
31,2241,1142,1099,
32,2250,1119,1131,
33,2502,1250,1252,
34,2417,1213,1204,
３５～３９,13550,6881,6669,
35,2566,1300,1266,
36,2684,1335,1349,
37,2753,1394,1359,
38,2760,1432,1328,
39,2787,1420,1367,
４０～４４,14680,7331,7349,
40,2801,1405,1396,
41,2922,1487,1435,
42,2962,1457,1505,
43,3008,1500,1508,
44,2987,1482,1505,
４５～４９,15937,7969,7968,
45,3045,1483,1562,
46,3024,1530,1494,
47,3264,1602,1662,
48,3285,1692,1593,
49,3319,1662,1657,
５０～５４,15656,7813,7843,
50,3254,1612,1642,
51,3185,1583,1602,
52,3216,1619,1597,
53,3004,1506,1498,
54,2997,1493,1504,
５５～５９,12927,6646,6281,
55,2455,1240,1215,
56,2915,1511,1404,
57,2693,1432,1261,
58,2480,1247,1233,
59,2384,1216,1168,
６０～６４,10027,5041,4986,
60,2175,1118,1057,
61,2102,1041,1061,
62,2071,1064,1007,
63,1873,931,942,
64,1806,887,919,
６５～６９,8641,4243,4398,
65,1741,847,894,
66,1665,804,861,
67,1754,867,887,
68,1742,859,883,
69,1739,866,873,
７０～７４,10757,5035,5722,
70,1933,957,976,
71,2066,988,1078,
72,2280,1061,1219,
73,2329,1074,1255,
74,2149,955,1194,
７５～７９,7734,3402,4332,
75,1295,593,702,
76,1462,664,798,
77,1738,770,968,
78,1615,676,939,
79,1624,699,925,
８０～８４,6506,2571,3935,
80,1563,652,911,
81,1370,551,819,
82,1172,433,739,
83,1244,497,747,
84,1157,438,719,
８５～８９,4699,1687,3012,
85,1181,413,768,
86,1001,389,612,
87,898,323,575,
88,792,284,508,
89,827,278,549,
９０～９４,2478,778,1700,
90,726,224,502,
91,570,208,362,
92,481,142,339,
93,398,108,290,
94,303,96,207,
９５～１０３,810,172,638,
95,240,59,181,
96,195,55,140,
97,134,24,110,
98,86,13,73,
99,61,12,49,
100,39,4,35,
101,30,3,27,
102,13,2,11,
103,12,0,12,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年9月1日現在,,,,
年齢,計,男,女,
総計　　　,190907,93252,97655,
　０～４　,7491,3892,3599,
0,1337,688,649,
1,1425,727,698,
2,1502,807,695,
3,1614,841,773,
4,1613,829,784,
　５～９　,8499,4382,4117,
5,1744,916,828,
6,1692,881,811,
7,1769,907,862,
8,1641,825,816,
9,1653,853,800,
１０～１４,8180,4209,3971,
10,1716,919,797,
11,1679,799,880,
12,1643,854,789,
13,1596,829,767,
14,1546,808,738,
１５～１９,7999,4082,3917,
15,1588,798,790,
16,1467,766,701,
17,1530,779,751,
18,1585,796,789,
19,1829,943,886,
２０～２４,11033,5427,5606,
20,1943,947,996,
21,1975,969,1006,
22,2299,1139,1160,
23,2414,1196,1218,
24,2402,1176,1226,
２５～２９,11679,5847,5832,
25,2392,1180,1212,
26,2310,1161,1149,
27,2324,1156,1168,
28,2275,1131,1144,
29,2378,1219,1159,
３０～３４,11637,5840,5797,
30,2161,1091,1070,
31,2267,1155,1112,
32,2285,1130,1155,
33,2486,1236,1250,
34,2438,1228,1210,
３５～３９,13614,6926,6688,
35,2604,1332,1272,
36,2671,1314,1357,
37,2765,1422,1343,
38,2777,1421,1356,
39,2797,1437,1360,
４０～４４,14717,7347,7370,
40,2776,1383,1393,
41,2971,1492,1479,
42,2957,1479,1478,
43,3038,1504,1534,
44,2975,1489,1486,
４５～４９,15927,7980,7947,
45,3031,1475,1556,
46,3057,1546,1511,
47,3237,1592,1645,
48,3310,1708,1602,
49,3292,1659,1633,
５０～５４,15571,7757,7814,
50,3256,1595,1661,
51,3190,1596,1594,
52,3211,1620,1591,
53,2984,1490,1494,
54,2930,1456,1474,
５５～５９,12943,6659,6284,
55,2563,1310,1253,
56,2897,1499,1398,
57,2636,1384,1252,
58,2497,1264,1233,
59,2350,1202,1148,
６０～６４,9997,5024,4973,
60,2175,1113,1062,
61,2090,1048,1042,
62,2043,1039,1004,
63,1883,947,936,
64,1806,877,929,
６５～６９,8653,4246,4407,
