令和元年12月1日現在,,,,
年齢,計,男,女,
総計　　　,188512,92239,96273,
　０～４　,7688,4039,3649,
0,1341,731,610,
1,1548,808,740,
2,1510,767,743,
3,1650,871,779,
4,1639,862,777,
　５～９　,8250,4216,4034,
5,1659,849,810,
6,1673,857,816,
7,1589,811,778,
8,1709,901,808,
9,1620,798,822,
１０～１４,7793,4048,3745,
10,1673,865,808,
11,1597,853,744,
12,1499,782,717,
13,1523,757,766,
14,1501,791,710,
１５～１９,7968,4053,3915,
15,1460,744,716,
16,1456,749,707,
17,1571,823,748,
18,1588,782,806,
19,1893,955,938,
２０～２４,11237,5470,5767,
20,2067,1043,1024,
21,2202,1069,1133,
22,2204,1034,1170,
23,2417,1170,1247,
24,2347,1154,1193,
２５～２９,11676,5939,5737,
25,2482,1259,1223,
26,2298,1155,1143,
27,2435,1258,1177,
28,2281,1168,1113,
29,2180,1099,1081,
３０～３４,11968,6065,5903,
30,2284,1157,1127,
31,2405,1221,1184,
32,2324,1181,1143,
33,2435,1241,1194,
34,2520,1265,1255,
３５～３９,13786,6940,6846,
35,2721,1350,1371,
36,2739,1402,1337,
37,2720,1384,1336,
38,2793,1382,1411,
39,2813,1422,1391,
４０～４４,14800,7400,7400,
40,2920,1461,1459,
41,2956,1485,1471,
42,2937,1453,1484,
43,3011,1487,1524,
44,2976,1514,1462,
４５～４９,16222,8122,8100,
45,3173,1573,1600,
46,3338,1703,1635,
47,3252,1619,1633,
48,3291,1660,1631,
49,3168,1567,1601,
５０～５４,14664,7413,7251,
50,3211,1622,1589,
51,3044,1519,1525,
52,3059,1541,1518,
53,2298,1145,1153,
54,3052,1586,1466,
５５～５９,11976,6155,5821,
55,2660,1424,1236,
56,2533,1283,1250,
57,2458,1244,1214,
58,2202,1144,1058,
59,2123,1060,1063,
６０～６４,9376,4671,4705,
60,2110,1092,1018,
61,1942,970,972,
62,1827,905,922,
63,1781,873,908,
64,1716,831,885,
６５～６９,9324,4635,4689,
65,1762,890,872,
66,1814,898,916,
67,1777,885,892,
68,1917,968,949,
69,2054,994,1060,
７０～７４,9891,4595,5296,
70,2300,1110,1190,
71,2382,1086,1296,
72,2289,1043,1246,
73,1477,691,786,
74,1443,665,778,
７５～７９,8290,3614,4676,
75,1740,793,947,
76,1724,766,958,
77,1693,727,966,
78,1645,697,948,
79,1488,631,857,
８０～８４,6269,2447,3822,
80,1289,487,802,
81,1248,517,731,
82,1308,522,786,
83,1280,478,802,
84,1144,443,701,
８５～８９,4463,1613,2850,
85,1007,376,631,
86,912,344,568,
87,982,348,634,
88,829,275,554,
89,733,270,463,
９０～９４,2169,675,1494,
90,592,199,393,
91,523,163,360,
92,415,134,281,
93,364,106,258,
94,275,73,202,
９５～１０３,687,125,562,
95,220,51,169,
96,156,27,129,
97,106,23,83,
98,75,9,66,
99,52,7,45,
100,23,3,20,
101,32,5,27,
102,16,0,16,
103,7,0,7,
１０４以上,15,4,11,
不詳者　　,0,0,0,
令和元年11月1日現在,,,,
年齢,計,男,女,
総計　　　,188540,92239,96301,
　０～４　,7713,4042,3671,
0,1386,755,631,
1,1539,787,752,
2,1522,776,746,
3,1628,858,770,
4,1638,866,772,
　５～９　,8280,4214,4066,
5,1684,859,825,
6,1670,853,817,
7,1582,794,788,
8,1724,926,798,
9,1620,782,838,
１０～１４,7763,4052,3711,
10,1642,869,773,
11,1593,847,746,
12,1502,785,717,
13,1550,771,779,
14,1476,780,696,
１５～１９,8021,4083,3938,
15,1459,743,716,
16,1461,744,717,
17,1573,821,752,
18,1631,809,822,
19,1897,966,931,
２０～２４,11313,5507,5806,
20,2091,1041,1050,
21,2182,1057,1125,
22,2242,1045,1197,
23,2390,1154,1236,
24,2408,1210,1198,
２５～２９,11677,5931,5746,
