令和2年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1609,1460,1555,3015
下連雀２丁目,1848,1643,1766,3409
下連雀３丁目,6191,4831,5420,10251
下連雀４丁目,3435,3050,3265,6315
下連雀５丁目,2333,2403,2870,5273
下連雀６丁目,2225,2170,2292,4462
下連雀７丁目,2425,2447,2725,5172
下連雀８丁目,1587,1774,1916,3690
下連雀９丁目,1986,2340,2471,4811
小計,23639,22118,24280,46398
牟礼１丁目,1135,1014,1088,2102
牟礼２丁目,2047,1840,1994,3834
牟礼３丁目,1098,1200,1115,2315
牟礼４丁目,1540,1630,1701,3331
牟礼５丁目,1375,1378,1384,2762
牟礼６丁目,2891,3160,3359,6519
牟礼７丁目,898,953,909,1862
小計,10984,11175,11550,22725
井の頭１丁目,2745,2318,2505,4823
井の頭２丁目,2060,1571,1810,3381
井の頭３丁目,1296,1093,1259,2352
井の頭４丁目,1130,1055,1047,2102
井の頭５丁目,1743,1638,1696,3334
小計,8974,7675,8317,15992
中原１丁目,2202,2046,2237,4283
中原２丁目,1491,1554,1596,3150
中原３丁目,1499,1492,1585,3077
中原４丁目,1918,2004,2104,4108
小計,7110,7096,7522,14618
北野１丁目,732,773,818,1591
北野２丁目,943,1029,1043,2072
北野３丁目,929,1030,1013,2043
北野４丁目,1047,1004,992,1996
小計,3651,3836,3866,7702
新川１丁目,1031,1071,1072,2143
新川２丁目,750,760,818,1578
新川３丁目,1043,1030,1034,2064
新川４丁目,1659,1608,1726,3334
新川５丁目,1388,1267,1349,2616
新川６丁目,2486,2194,2107,4301
小計,8357,7930,8106,16036
上連雀１丁目,1895,1640,1625,3265
上連雀２丁目,1360,1136,1167,2303
上連雀３丁目,1051,909,893,1802
上連雀４丁目,1732,1635,1619,3254
上連雀５丁目,1467,1363,1370,2733
上連雀６丁目,1562,1435,1612,3047
上連雀７丁目,1421,1414,1493,2907
上連雀８丁目,1621,1681,1842,3523
上連雀９丁目,1463,1505,1588,3093
小計,13572,12718,13209,25927
井口１丁目,1826,1951,1907,3858
井口２丁目,1146,1249,1349,2598
井口３丁目,1082,1053,1189,2242
井口４丁目,1523,1588,1569,3157
井口５丁目,490,460,502,962
小計,6067,6301,6516,12817
深大寺１丁目,844,898,916,1814
深大寺２丁目,2078,2204,1898,4102
深大寺３丁目,1140,1119,1004,2123
小計,4062,4221,3818,8039
野崎１丁目,540,518,548,1066
野崎２丁目,1222,1222,1234,2456
野崎３丁目,1036,1169,1174,2343
野崎４丁目,286,344,294,638
小計,3084,3253,3250,6503
大沢１丁目,1340,1483,1411,2894
大沢２丁目,944,992,967,1959
大沢３丁目,941,839,922,1761
大沢４丁目,1423,1499,1594,3093
大沢５丁目,878,1033,1056,2089
大沢６丁目,786,788,765,1553
小計,6312,6634,6715,13349
合計,95812,92957,97149,190106
令和2年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1609,1458,1563,3021
下連雀２丁目,1849,1649,1762,3411
下連雀３丁目,6188,4825,5426,10251
下連雀４丁目,3435,3046,3273,6319
下連雀５丁目,2328,2390,2866,5256
下連雀６丁目,2223,2171,2285,4456
下連雀７丁目,2423,2437,2714,5151
下連雀８丁目,1586,1773,1917,3690
下連雀９丁目,1985,2340,2475,4815
小計,23626,22089,24281,46370
牟礼１丁目,1131,1008,1074,2082
牟礼２丁目,2052,1846,1998,3844
牟礼３丁目,1103,1203,1117,2320
牟礼４丁目,1544,1634,1707,3341
牟礼５丁目,1377,1383,1388,2771
牟礼６丁目,2895,3167,3355,6522
牟礼７丁目,896,955,908,1863
小計,10998,11196,11547,22743
井の頭１丁目,2747,2321,2501,4822
井の頭２丁目,2074,1579,1826,3405
井の頭３丁目,1298,1093,1259,2352
井の頭４丁目,1132,1056,1045,2101
井の頭５丁目,1744,1641,1692,3333
小計,8995,7690,8323,16013
中原１丁目,2204,2052,2244,4296
中原２丁目,1485,1549,1595,3144
中原３丁目,1496,1492,1581,3073
中原４丁目,1914,1997,2093,4090
小計,7099,7090,7513,14603
北野１丁目,734,774,824,1598
北野２丁目,942,1030,1045,2075
北野３丁目,924,1029,1015,2044
北野４丁目,1048,1008,998,2006
小計,3648,3841,3882,7723
新川１丁目,1041,1079,1076,2155
新川２丁目,749,760,819,1579
新川３丁目,1048,1036,1039,2075
新川４丁目,1662,1610,1729,3339
新川５丁目,1377,1266,1339,2605
新川６丁目,2498,2202,2116,4318
小計,8375,7953,8118,16071
上連雀１丁目,1896,1642,1632,3274
上連雀２丁目,1364,1139,1169,2308
上連雀３丁目,1046,908,886,1794
上連雀４丁目,1735,1641,1619,3260
上連雀５丁目,1467,1362,1365,2727
上連雀６丁目,1565,1434,1605,3039
上連雀７丁目,1425,1417,1498,2915
上連雀８丁目,1618,1685,1846,3531
上連雀９丁目,1461,1503,1586,3089
小計,13577,12731,13206,25937
井口１丁目,1823,1951,1902,3853
井口２丁目,1143,1251,1346,2597
井口３丁目,1079,1048,1184,2232
井口４丁目,1520,1588,1567,3155
井口５丁目,489,463,501,964
小計,6054,6301,6500,12801
深大寺１丁目,840,893,914,1807
深大寺２丁目,2084,2214,1890,4104
深大寺３丁目,1136,1121,1003,2124
小計,4060,4228,3807,8035
野崎１丁目,542,518,550,1068
野崎２丁目,1220,1228,1234,2462
野崎３丁目,1031,1170,1168,2338
野崎４丁目,283,342,293,635
小計,3076,3258,3245,6503
大沢１丁目,1340,1479,1411,2890
大沢２丁目,945,994,973,1967
大沢３丁目,941,840,922,1762
大沢４丁目,1426,1505,1595,3100
大沢５丁目,880,1036,1056,2092
大沢６丁目,788,790,768,1558
小計,6320,6644,6725,13369
