令和3年10月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1626,1462,1564,3026
下連雀２丁目,1846,1662,1743,3405
下連雀３丁目,6348,4888,5490,10378
下連雀４丁目,3458,3027,3293,6320
下連雀５丁目,2556,2684,3178,5862
下連雀６丁目,2229,2191,2308,4499
下連雀７丁目,2419,2438,2740,5178
下連雀８丁目,1594,1756,1901,3657
下連雀９丁目,1994,2329,2460,4789
小計,24070,22437,24677,47114
牟礼１丁目,1166,1049,1127,2176
牟礼２丁目,2018,1808,1991,3799
牟礼３丁目,1097,1202,1116,2318
牟礼４丁目,1526,1607,1679,3286
牟礼５丁目,1370,1382,1365,2747
牟礼６丁目,2890,3145,3333,6478
牟礼７丁目,885,935,909,1844
小計,10952,11128,11520,22648
井の頭１丁目,2769,2349,2521,4870
井の頭２丁目,2032,1578,1741,3319
井の頭３丁目,1288,1095,1252,2347
井の頭４丁目,1140,1056,1059,2115
井の頭５丁目,1744,1652,1707,3359
小計,8973,7730,8280,16010
中原１丁目,2231,2067,2263,4330
中原２丁目,1500,1579,1616,3195
中原３丁目,1526,1506,1621,3127
中原４丁目,1966,2037,2154,4191
小計,7223,7189,7654,14843
北野１丁目,731,768,809,1577
北野２丁目,938,1027,1045,2072
北野３丁目,945,1035,1039,2074
北野４丁目,1059,983,1013,1996
小計,3673,3813,3906,7719
新川１丁目,1028,1059,1077,2136
新川２丁目,767,761,824,1585
新川３丁目,1031,1016,1034,2050
新川４丁目,1682,1603,1744,3347
新川５丁目,1377,1241,1325,2566
新川６丁目,2498,2211,2090,4301
小計,8383,7891,8094,15985
上連雀１丁目,1878,1602,1600,3202
上連雀２丁目,1398,1177,1204,2381
上連雀３丁目,1048,933,885,1818
上連雀４丁目,1720,1628,1616,3244
上連雀５丁目,1465,1369,1381,2750
上連雀６丁目,1577,1437,1616,3053
上連雀７丁目,1439,1418,1490,2908
上連雀８丁目,1607,1675,1793,3468
上連雀９丁目,1481,1512,1606,3118
小計,13613,12751,13191,25942
井口１丁目,1824,1935,1881,3816
井口２丁目,1133,1217,1318,2535
井口３丁目,1090,1062,1191,2253
井口４丁目,1505,1566,1567,3133
井口５丁目,503,458,501,959
小計,6055,6238,6458,12696
深大寺１丁目,863,923,955,1878
深大寺２丁目,2106,2216,1908,4124
深大寺３丁目,1135,1120,1021,2141
小計,4104,4259,3884,8143
野崎１丁目,535,505,534,1039
野崎２丁目,1214,1233,1235,2468
野崎３丁目,1024,1158,1165,2323
野崎４丁目,278,319,290,609
小計,3051,3215,3224,6439
大沢１丁目,1293,1440,1418,2858
大沢２丁目,946,991,957,1948
大沢３丁目,911,810,898,1708
大沢４丁目,1440,1471,1582,3053
大沢５丁目,899,1054,1072,2126
大沢６丁目,801,787,775,1562
小計,6290,6553,6702,13255
合計,96387,93204,97590,190794
令和3年9月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1631,1465,1573,3038
下連雀２丁目,1848,1654,1748,3402
下連雀３丁目,6338,4880,5485,10365
下連雀４丁目,3464,3030,3305,6335
下連雀５丁目,2564,2693,3184,5877
下連雀６丁目,2227,2194,2309,4503
下連雀７丁目,2421,2443,2740,5183
下連雀８丁目,1604,1763,1906,3669
下連雀９丁目,1996,2331,2462,4793
小計,24093,22453,24712,47165
牟礼１丁目,1167,1047,1126,2173
牟礼２丁目,2023,1812,1990,3802
牟礼３丁目,1107,1205,1132,2337
牟礼４丁目,1524,1606,1675,3281
牟礼５丁目,1372,1380,1370,2750
牟礼６丁目,2897,3155,3334,6489
牟礼７丁目,883,930,909,1839
小計,10973,11135,11536,22671
井の頭１丁目,2759,2350,2516,4866
井の頭２丁目,2031,1580,1744,3324
井の頭３丁目,1285,1091,1256,2347
井の頭４丁目,1140,1063,1062,2125
井の頭５丁目,1750,1652,1709,3361
小計,8965,7736,8287,16023
中原１丁目,2232,2062,2266,4328
中原２丁目,1495,1573,1612,3185
中原３丁目,1527,1510,1617,3127
中原４丁目,1964,2036,2154,4190
小計,7218,7181,7649,14830
北野１丁目,728,770,807,1577
北野２丁目,939,1032,1043,2075
北野３丁目,945,1031,1038,2069
北野４丁目,1060,984,1014,1998
小計,3672,3817,3902,7719
新川１丁目,1036,1060,1082,2142
新川２丁目,767,759,823,1582
新川３丁目,1038,1023,1035,2058
新川４丁目,1676,1603,1738,3341
新川５丁目,1374,1236,1326,2562
新川６丁目,2523,2225,2099,4324
小計,8414,7906,8103,16009
上連雀１丁目,1883,1605,1604,3209
上連雀２丁目,1398,1173,1200,2373
上連雀３丁目,1043,923,879,1802
上連雀４丁目,1715,1622,1615,3237
上連雀５丁目,1466,1374,1383,2757
上連雀６丁目,1570,1435,1601,3036
上連雀７丁目,1444,1424,1491,2915
上連雀８丁目,1613,1672,1804,3476
上連雀９丁目,1483,1512,1610,3122
小計,13615,12740,13187,25927
井口１丁目,1818,1928,1877,3805
井口２丁目,1136,1223,1317,2540
井口３丁目,1097,1063,1199,2262
井口４丁目,1514,1574,1575,3149
井口５丁目,501,457,501,958
小計,6066,6245,6469,12714
深大寺１丁目,869,929,951,1880
深大寺２丁目,2107,2216,1913,4129
深大寺３丁目,1140,1122,1024,2146
小計,4116,4267,3888,8155
野崎１丁目,531,506,530,1036
野崎２丁目,1216,1233,1238,2471
野崎３丁目,1026,1158,1164,2322
野崎４丁目,274,317,284,601
小計,3047,3214,3216,6430
大沢１丁目,1297,1440,1419,2859
大沢２丁目,953,995,958,1953
大沢３丁目,905,807,894,1701
大沢４丁目,1439,1474,1585,3059
大沢５丁目,901,1054,1075,2129
大沢６丁目,799,788,775,1563
小計,6294,6558,6706,13264
合計,96473,93252,97655,190907
令和3年8月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1624,1458,1568,3026
下連雀２丁目,1855,1658,1758,3416
下連雀３丁目,6352,4879,5495,10374
下連雀４丁目,3477,3054,3308,6362
下連雀５丁目,2564,2686,3175,5861
下連雀６丁目,2229,2201,2311,4512
下連雀７丁目,2423,2443,2736,5179
下連雀８丁目,1602,1763,1903,3666
下連雀９丁目,1996,2335,2466,4801
小計,24122,22477,24720,47197
牟礼１丁目,1160,1038,1119,2157
牟礼２丁目,2025,1820,1987,3807
牟礼３丁目,1108,1204,1137,2341
牟礼４丁目,1529,1609,1690,3299
牟礼５丁目,1381,1382,1378,2760
牟礼６丁目,2905,3161,3340,6501
牟礼７丁目,887,932,910,1842
小計,10995,11146,11561,22707
井の頭１丁目,2759,2351,2523,4874
井の頭２丁目,2027,1582,1743,3325
井の頭３丁目,1283,1090,1258,2348
井の頭４丁目,1146,1068,1065,2133
井の頭５丁目,1745,1644,1706,3350
小計,8960,7735,8295,16030
中原１丁目,2233,2059,2265,4324
中原２丁目,1490,1561,1604,3165
中原３丁目,1523,1511,1614,3125
中原４丁目,1954,2026,2141,4167
小計,7200,7157,7624,14781
北野１丁目,726,765,808,1573
北野２丁目,952,1046,1059,2105
北野３丁目,942,1029,1035,2064
北野４丁目,1055,983,1012,1995
小計,3675,3823,3914,7737
新川１丁目,1037,1064,1082,2146
新川２丁目,759,753,817,1570
新川３丁目,1043,1026,1045,2071
新川４丁目,1673,1600,1735,3335
新川５丁目,1381,1239,1331,2570
新川６丁目,2544,2236,2110,4346
小計,8437,7918,8120,16038
上連雀１丁目,1895,1616,1613,3229
上連雀２丁目,1404,1175,1206,2381
上連雀３丁目,1038,916,874,1790
上連雀４丁目,1721,1625,1623,3248
上連雀５丁目,1465,1373,1380,2753
上連雀６丁目,1566,1434,1598,3032
上連雀７丁目,1435,1422,1483,2905
上連雀８丁目,1612,1670,1812,3482
上連雀９丁目,1479,1506,1600,3106
小計,13615,12737,13189,25926
井口１丁目,1818,1934,1884,3818
井口２丁目,1138,1219,1318,2537
井口３丁目,1096,1066,1197,2263
井口４丁目,1517,1575,1577,3152
井口５丁目,498,456,498,954
小計,6067,6250,6474,12724
深大寺１丁目,869,926,954,1880
深大寺２丁目,2104,2209,1915,4124
深大寺３丁目,1147,1125,1023,2148
小計,4120,4260,3892,8152
野崎１丁目,533,508,532,1040
野崎２丁目,1218,1234,1238,2472
野崎３丁目,1032,1163,1168,2331
野崎４丁目,272,315,285,600
小計,3055,3220,3223,6443
大沢１丁目,1300,1438,1421,2859
大沢２丁目,955,994,958,1952
大沢３丁目,899,801,891,1692
大沢４丁目,1441,1479,1587,3066
大沢５丁目,897,1057,1078,2135
大沢６丁目,803,789,776,1565
小計,6295,6558,6711,13269
合計,96541,93281,97723,191004
令和3年7月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1626,1458,1569,3027
下連雀２丁目,1860,1656,1762,3418
下連雀３丁目,6346,4879,5487,10366
下連雀４丁目,3479,3061,3305,6366
下連雀５丁目,2568,2681,3181,5862
下連雀６丁目,2230,2205,2308,4513
下連雀７丁目,2432,2450,2745,5195
下連雀８丁目,1596,1758,1897,3655
下連雀９丁目,1992,2331,2463,4794
小計,24129,22479,24717,47196
牟礼１丁目,1156,1033,1114,2147
牟礼２丁目,2028,1824,1983,3807
牟礼３丁目,1105,1204,1138,2342
牟礼４丁目,1536,1618,1696,3314
牟礼５丁目,1380,1379,1384,2763
牟礼６丁目,2905,3163,3329,6492
牟礼７丁目,885,933,914,1847
小計,10995,11154,11558,22712
井の頭１丁目,2751,2349,2520,4869
井の頭２丁目,2036,1589,1752,3341
井の頭３丁目,1283,1087,1258,2345
井の頭４丁目,1143,1067,1061,2128
井の頭５丁目,1746,1645,1701,3346
小計,8959,7737,8292,16029
中原１丁目,2234,2058,2268,4326
中原２丁目,1482,1548,1596,3144
中原３丁目,1525,1514,1617,3131
中原４丁目,1956,2026,2149,4175
小計,7197,7146,7630,14776
北野１丁目,723,764,804,1568
北野２丁目,954,1048,1061,2109
北野３丁目,942,1027,1031,2058
北野４丁目,1055,982,1010,1992
小計,3674,3821,3906,7727
新川１丁目,1035,1062,1084,2146
新川２丁目,758,753,814,1567
新川３丁目,1047,1026,1045,2071
新川４丁目,1675,1612,1733,3345
新川５丁目,1382,1239,1333,2572
新川６丁目,2552,2240,2124,4364
小計,8449,7932,8133,16065
上連雀１丁目,1897,1621,1616,3237
上連雀２丁目,1407,1174,1207,2381
上連雀３丁目,1043,917,878,1795
上連雀４丁目,1725,1627,1619,3246
上連雀５丁目,1459,1372,1375,2747
上連雀６丁目,1569,1441,1599,3040
上連雀７丁目,1435,1418,1484,2902
上連雀８丁目,1616,1668,1816,3484
上連雀９丁目,1481,1513,1599,3112
小計,13632,12751,13193,25944
井口１丁目,1822,1939,1891,3830
井口２丁目,1140,1228,1321,2549
井口３丁目,1099,1061,1202,2263
井口４丁目,1522,1576,1578,3154
井口５丁目,501,460,506,966
小計,6084,6264,6498,12762
深大寺１丁目,869,927,955,1882
深大寺２丁目,2092,2197,1905,4102
深大寺３丁目,1146,1126,1016,2142
小計,4107,4250,3876,8126
野崎１丁目,536,510,538,1048
野崎２丁目,1218,1220,1237,2457
野崎３丁目,1031,1165,1171,2336
野崎４丁目,275,319,287,606
小計,3060,3214,3233,6447
大沢１丁目,1305,1448,1422,2870
大沢２丁目,952,988,960,1948
大沢３丁目,920,817,904,1721
大沢４丁目,1434,1473,1592,3065
大沢５丁目,886,1048,1067,2115
大沢６丁目,811,792,779,1571
小計,6308,6566,6724,13290
合計,96594,93314,97760,191074
令和3年6月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1630,1459,1566,3025
下連雀２丁目,1854,1655,1759,3414
下連雀３丁目,6342,4880,5480,10360
下連雀４丁目,3487,3063,3310,6373
下連雀５丁目,2558,2677,3172,5849
下連雀６丁目,2240,2214,2313,4527
下連雀７丁目,2432,2452,2745,5197
下連雀８丁目,1594,1755,1898,3653
下連雀９丁目,1987,2331,2460,4791
小計,24124,22486,24703,47189
牟礼１丁目,1154,1033,1114,2147
牟礼２丁目,2037,1822,1993,3815
牟礼３丁目,1100,1205,1130,2335
牟礼４丁目,1544,1623,1707,3330
牟礼５丁目,1387,1388,1389,2777
牟礼６丁目,2907,3165,3338,6503
牟礼７丁目,894,941,920,1861
小計,11023,11177,11591,22768
井の頭１丁目,2736,2336,2505,4841
井の頭２丁目,2041,1589,1756,3345
井の頭３丁目,1286,1091,1258,2349
井の頭４丁目,1136,1067,1052,2119
井の頭５丁目,1742,1643,1698,3341
小計,8941,7726,8269,15995
中原１丁目,2233,2064,2269,4333
中原２丁目,1476,1540,1593,3133
中原３丁目,1523,1511,1613,3124
中原４丁目,1950,2021,2142,4163
小計,7182,7136,7617,14753
北野１丁目,723,765,805,1570
北野２丁目,953,1044,1061,2105
北野３丁目,941,1026,1028,2054
北野４丁目,1061,986,1013,1999
小計,3678,3821,3907,7728
新川１丁目,1029,1063,1080,2143
新川２丁目,761,758,818,1576
新川３丁目,1045,1024,1045,2069
新川４丁目,1672,1614,1725,3339
新川５丁目,1378,1239,1333,2572
新川６丁目,2560,2240,2140,4380
小計,8445,7938,8141,16079
上連雀１丁目,1900,1631,1622,3253
上連雀２丁目,1405,1166,1203,2369
上連雀３丁目,1051,921,886,1807
上連雀４丁目,1730,1627,1623,3250
上連雀５丁目,1461,1372,1376,2748
上連雀６丁目,1563,1438,1598,3036
上連雀７丁目,1437,1422,1484,2906
上連雀８丁目,1613,1663,1816,3479
上連雀９丁目,1478,1509,1596,3105
小計,13638,12749,13204,25953
井口１丁目,1831,1938,1892,3830
井口２丁目,1145,1234,1327,2561
井口３丁目,1095,1059,1201,2260
井口４丁目,1522,1577,1580,3157
井口５丁目,499,458,502,960
小計,6092,6266,6502,12768
深大寺１丁目,866,928,955,1883
深大寺２丁目,2091,2198,1905,4103
深大寺３丁目,1146,1125,1012,2137
小計,4103,4251,3872,8123
野崎１丁目,539,512,541,1053
野崎２丁目,1216,1220,1234,2454
野崎３丁目,1036,1172,1168,2340
野崎４丁目,277,326,290,616
小計,3068,3230,3233,6463
大沢１丁目,1328,1466,1417,2883
大沢２丁目,946,984,957,1941
大沢３丁目,938,822,917,1739
大沢４丁目,1437,1476,1597,3073
大沢５丁目,888,1047,1069,2116
大沢６丁目,811,793,777,1570
小計,6348,6588,6734,13322
合計,96642,93368,97773,191141
令和3年5月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1635,1463,1575,3038
下連雀２丁目,1854,1652,1762,3414
下連雀３丁目,6339,4888,5470,10358
下連雀４丁目,3486,3061,3303,6364
下連雀５丁目,2549,2667,3161,5828
下連雀６丁目,2242,2210,2318,4528
下連雀７丁目,2426,2445,2744,5189
下連雀８丁目,1589,1755,1892,3647
下連雀９丁目,1986,2331,2462,4793
小計,24106,22472,24687,47159
牟礼１丁目,1149,1025,1107,2132
牟礼２丁目,2044,1825,1996,3821
牟礼３丁目,1101,1201,1129,2330
牟礼４丁目,1541,1624,1704,3328
牟礼５丁目,1384,1383,1392,2775
牟礼６丁目,2906,3162,3339,6501
牟礼７丁目,897,942,917,1859
小計,11022,11162,11584,22746
井の頭１丁目,2737,2329,2512,4841
井の頭２丁目,2060,1586,1777,3363
井の頭３丁目,1287,1090,1258,2348
井の頭４丁目,1139,1075,1049,2124
井の頭５丁目,1751,1651,1700,3351
小計,8974,7731,8296,16027
中原１丁目,2235,2064,2267,4331
中原２丁目,1486,1551,1604,3155
中原３丁目,1522,1506,1611,3117
中原４丁目,1954,2025,2139,4164
小計,7197,7146,7621,14767
北野１丁目,726,766,803,1569
北野２丁目,955,1041,1063,2104
北野３丁目,932,1018,1021,2039
北野４丁目,1057,986,1009,1995
小計,3670,3811,3896,7707
新川１丁目,1027,1064,1081,2145
新川２丁目,763,760,821,1581
新川３丁目,1046,1021,1046,2067
新川４丁目,1671,1618,1722,3340
新川５丁目,1376,1238,1333,2571
新川６丁目,2558,2237,2141,4378
小計,8441,7938,8144,16082
上連雀１丁目,1898,1631,1622,3253
上連雀２丁目,1402,1161,1202,2363
上連雀３丁目,1058,922,894,1816
上連雀４丁目,1744,1641,1621,3262
上連雀５丁目,1464,1372,1376,2748
上連雀６丁目,1561,1432,1596,3028
上連雀７丁目,1430,1417,1481,2898
上連雀８丁目,1609,1667,1816,3483
上連雀９丁目,1480,1514,1599,3113
小計,13646,12757,13207,25964
井口１丁目,1829,1938,1889,3827
井口２丁目,1152,1241,1336,2577
井口３丁目,1096,1062,1204,2266
井口４丁目,1515,1567,1572,3139
井口５丁目,499,459,500,959
小計,6091,6267,6501,12768
深大寺１丁目,862,922,953,1875
深大寺２丁目,2090,2200,1894,4094
深大寺３丁目,1145,1118,1012,2130
小計,4097,4240,3859,8099
野崎１丁目,540,514,543,1057
野崎２丁目,1221,1222,1240,2462
野崎３丁目,1033,1172,1166,2338
野崎４丁目,277,328,289,617
小計,3071,3236,3238,6474
大沢１丁目,1339,1476,1417,2893
大沢２丁目,943,981,956,1937
大沢３丁目,939,826,922,1748
大沢４丁目,1437,1485,1601,3086
大沢５丁目,883,1038,1063,2101
大沢６丁目,802,788,773,1561
小計,6343,6594,6732,13326
合計,96658,93354,97765,191119
令和3年4月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1618,1449,1566,3015
下連雀２丁目,1850,1648,1756,3404
下連雀３丁目,6288,4856,5447,10303
下連雀４丁目,3484,3063,3300,6363
下連雀５丁目,2538,2659,3146,5805
下連雀６丁目,2235,2198,2311,4509
下連雀７丁目,2425,2444,2735,5179
下連雀８丁目,1587,1759,1897,3656
下連雀９丁目,1993,2337,2468,4805
小計,24018,22413,24626,47039
牟礼１丁目,1146,1021,1103,2124
牟礼２丁目,2056,1836,2002,3838
牟礼３丁目,1095,1196,1126,2322
牟礼４丁目,1533,1621,1704,3325
牟礼５丁目,1384,1383,1391,2774
牟礼６丁目,2909,3158,3345,6503
牟礼７丁目,902,946,921,1867
小計,11025,11161,11592,22753
井の頭１丁目,2726,2312,2515,4827
井の頭２丁目,2063,1578,1788,3366
井の頭３丁目,1288,1087,1261,2348
井の頭４丁目,1138,1068,1048,2116
井の頭５丁目,1755,1649,1701,3350
小計,8970,7694,8313,16007
中原１丁目,2234,2064,2260,4324
中原２丁目,1480,1546,1595,3141
中原３丁目,1510,1496,1594,3090
中原４丁目,1943,2026,2131,4157
小計,7167,7132,7580,14712
北野１丁目,718,762,800,1562
北野２丁目,961,1041,1061,2102
北野３丁目,927,1016,1011,2027
北野４丁目,1054,990,1001,1991
小計,3660,3809,3873,7682
新川１丁目,1029,1060,1081,2141
新川２丁目,757,761,817,1578
新川３丁目,1050,1020,1046,2066
新川４丁目,1668,1623,1724,3347
新川５丁目,1387,1251,1345,2596
新川６丁目,2510,2198,2137,4335
小計,8401,7913,8150,16063
上連雀１丁目,1907,1640,1631,3271
上連雀２丁目,1401,1166,1201,2367
上連雀３丁目,1056,920,896,1816
上連雀４丁目,1746,1641,1613,3254
上連雀５丁目,1459,1357,1375,2732
上連雀６丁目,1561,1430,1594,3024
上連雀７丁目,1424,1407,1478,2885
上連雀８丁目,1625,1678,1839,3517
上連雀９丁目,1475,1509,1595,3104
小計,13654,12748,13222,25970
井口１丁目,1824,1939,1891,3830
井口２丁目,1148,1243,1334,2577
井口３丁目,1087,1051,1205,2256
井口４丁目,1518,1565,1570,3135
井口５丁目,501,456,507,963
小計,6078,6254,6507,12761
深大寺１丁目,848,908,927,1835
深大寺２丁目,2092,2212,1889,4101
深大寺３丁目,1137,1111,1004,2115
小計,4077,4231,3820,8051
野崎１丁目,540,510,549,1059
野崎２丁目,1219,1223,1232,2455
野崎３丁目,1025,1165,1158,2323
野崎４丁目,276,329,288,617
小計,3060,3227,3227,6454
大沢１丁目,1337,1477,1414,2891
大沢２丁目,942,981,965,1946
