令和元年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1599,1469,1568,3037
下連雀２丁目,1830,1666,1764,3430
下連雀３丁目,6094,4755,5373,10128
下連雀４丁目,3416,3038,3270,6308
下連雀５丁目,1836,1761,2197,3958
下連雀６丁目,2063,2006,2097,4103
下連雀７丁目,2428,2434,2728,5162
下連雀８丁目,1570,1775,1911,3686
下連雀９丁目,1985,2363,2507,4870
小計,22821,21267,23415,44682
牟礼１丁目,1119,1013,1079,2092
牟礼２丁目,2049,1845,2017,3862
牟礼３丁目,1086,1189,1084,2273
牟礼４丁目,1565,1646,1730,3376
牟礼５丁目,1395,1380,1386,2766
牟礼６丁目,2889,3175,3353,6528
牟礼７丁目,876,945,893,1838
小計,10979,11193,11542,22735
井の頭１丁目,2727,2305,2505,4810
井の頭２丁目,2127,1598,1858,3456
井の頭３丁目,1301,1104,1266,2370
井の頭４丁目,1142,1059,1078,2137
井の頭５丁目,1735,1647,1681,3328
小計,9032,7713,8388,16101
中原１丁目,2162,2034,2226,4260
中原２丁目,1484,1525,1573,3098
中原３丁目,1494,1503,1602,3105
中原４丁目,1943,2002,2119,4121
小計,7083,7064,7520,14584
北野１丁目,725,766,811,1577
北野２丁目,925,1030,1036,2066
北野３丁目,895,1011,968,1979
北野４丁目,1024,997,977,1974
小計,3569,3804,3792,7596
新川１丁目,1039,1068,1068,2136
新川２丁目,748,758,807,1565
新川３丁目,1067,1041,1051,2092
新川４丁目,1639,1606,1734,3340
新川５丁目,1397,1291,1362,2653
新川６丁目,2599,2272,2174,4446
小計,8489,8036,8196,16232
上連雀１丁目,1807,1604,1554,3158
上連雀２丁目,1342,1138,1158,2296
上連雀３丁目,1018,873,855,1728
上連雀４丁目,1754,1668,1642,3310
上連雀５丁目,1462,1375,1363,2738
上連雀６丁目,1586,1473,1627,3100
上連雀７丁目,1419,1427,1502,2929
上連雀８丁目,1593,1684,1825,3509
上連雀９丁目,1487,1530,1603,3133
小計,13468,12772,13129,25901
井口１丁目,1779,1952,1865,3817
井口２丁目,1122,1252,1327,2579
井口３丁目,1053,1029,1161,2190
井口４丁目,1489,1560,1537,3097
井口５丁目,488,472,520,992
小計,5931,6265,6410,12675
深大寺１丁目,809,854,869,1723
深大寺２丁目,2093,2211,1934,4145
深大寺３丁目,1138,1126,1031,2157
小計,4040,4191,3834,8025
野崎１丁目,586,550,600,1150
野崎２丁目,1218,1242,1225,2467
野崎３丁目,1017,1171,1152,2323
野崎４丁目,277,338,286,624
小計,3098,3301,3263,6564
大沢１丁目,1332,1459,1413,2872
大沢２丁目,955,997,978,1975
大沢３丁目,1065,881,1019,1900
大沢４丁目,1380,1472,1555,3027
大沢５丁目,877,1040,1061,2101
大沢６丁目,770,784,758,1542
小計,6379,6633,6784,13417
合計,94889,92239,96273,188512
令和元年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1595,1473,1566,3039
下連雀２丁目,1828,1663,1758,3421
下連雀３丁目,6100,4757,5373,10130
下連雀４丁目,3424,3043,3276,6319
下連雀５丁目,1837,1756,2194,3950
下連雀６丁目,2066,2002,2098,4100
下連雀７丁目,2426,2430,2726,5156
下連雀８丁目,1572,1774,1918,3692
下連雀９丁目,1988,2365,2514,4879
小計,22836,21263,23423,44686
牟礼１丁目,1110,1007,1076,2083
牟礼２丁目,2046,1845,2014,3859
牟礼３丁目,1087,1186,1085,2271
牟礼４丁目,1567,1654,1736,3390
牟礼５丁目,1393,1376,1391,2767
牟礼６丁目,2888,3172,3354,6526
牟礼７丁目,873,940,888,1828
小計,10964,11180,11544,22724
