"科目","金額[百万円]"
"年度","2018"
"期間（自）","20180401"
"期間（至）","20190331"
"業務活動収支 業務支出","146151"
"業務活動収支 業務支出 業務費用支出","68986"
"業務活動収支 業務支出 業務費用支出 人件費支出","20602"
"業務活動収支 業務支出 業務費用支出 物件費等支出","46240"
"業務活動収支 業務支出 業務費用支出 支払利息支出","21"
"業務活動収支 業務支出 業務費用支出 その他の支出","2123"
"業務活動収支 業務支出 移転費用支出","77165"
"業務活動収支 業務支出 移転費用支出 補助金等支出","55265"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","21630"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","270"
"業務活動収支 業務収入","168404"
"業務活動収支 業務収入 税収等収入","120599"
"業務活動収支 業務収入 国都等補助金収入","37108"
"業務活動収支 業務収入 使用料及び手数料収入","7717"
"業務活動収支 業務収入 その他の収入","2981"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","0"
"業務活動収支","22254"
"投資活動収支 投資活動支出","34616"
"投資活動収支 投資活動支出 公共施設等整備費支出","14422"
"投資活動収支 投資活動支出 基金積立金支出","19702"
"投資活動収支 投資活動支出 投資及び出資金支出","-"
"投資活動収支 投資活動支出 貸付金支出","491"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","12232"
"投資活動収支 投資活動収入 国都等補助金収入","2808"
"投資活動収支 投資活動収入 基金取崩収入","8329"
"投資活動収支 投資活動収入 貸付金元金回収収入","495"
"投資活動収支 投資活動収入 資産売却収入","0"
"投資活動収支 投資活動収入 その他の収入","600"
"投資活動収支","-22384"
"財務活動収支 財務活動支出","858"
"財務活動収支 財務活動支出 地方債償還支出","362"
"財務活動収支 財務活動支出 その他の支出","496"
"財務活動収支 財務活動収入","-"
"財務活動収支 財務活動収入 地方債発行収入","-"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-858"
"本年度資金収支額","-988"
"前年度末資金残高","12095"
"本年度末資金残高","11107"
"前年度末歳計外現金残高","6724"
"本年度歳計外現金増減額","464"
"本年度末歳計外現金残高","7188"
"本年度末現金預金残高","18294"

"全体会計財務書類（資金収支計算書）(平成30年4月1日から平成31年3月31日)","Ver201903"
