"コンテスト名称","応募形態","作品名"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","ちょこっと保育 〜港区〜"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","Korette（コレッテ）"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","港区避難所マップ「港の皆と」"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","港区公園マップ「港パーク」"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","品川紋次郎の道案内bot"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","港区神社仏閣アプリ"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","Minatokaze "
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","スモーク＆ウォーク"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","みんなに便利な街のコンシェルジュAIアプリwith小型フクロウロボット「ZUKKU（ズック）」"
"令和元年度「港区オープンデータアプリコンテスト」","アプリ","mina-trip ( みなとりっぷ )"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","「ちぃばす」×「港区イベント」！港区の足でイベント参加をもっと気軽に"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","みなコミュ！"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","公共施設稼働率ビューアー"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","ゴミゼロ港区ーポン"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","大学生と港区をつなぐアプリ ～「暇なら使って！！」港区　学生向けイベント情報提供アプリ～"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","子供の活動情報を随時に確認できるGPSアプリ"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","より港区への理解を深めるために"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","外国人と交流して多くの言語を学んで輪を広げ、自分の価値を高めよう"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","ヘル食ナビ　～健康的に外食をしよう！～"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","【歩く貯まる使える】ウォーキングポイント"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","ぶらぶら　in MINATO"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","港区での子供との生活を「もっと楽しく」「もっと安心に」してくれるアプリ"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","通信と観光を一つに"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","みな・といれ"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","仕事！健康！快適な港区ライフ ～アプリを使って安全に健康的な生活を！！～"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","スーパー効率アプリ"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","Simply Library"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","飲食マップ"
"令和元年度「港区オープンデータアプリコンテスト」","アイデア","港区から世界へ"
