"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
2017 ,"特別区税",72553194,43.7,76721784,42.7
2017 ,"地方譲与税",425001,0.3,425001,0.2
2017 ,"利子割交付金",600000,0.4,300000,0.2
2017 ,"配当割交付金",660000,0.4,800000,0.4
2017 ,"株式等譲渡所得割交付金",600000,0.4,600000,0.3
2017 ,"地方消費税交付金",12832000,7.7,13137000,7.3
2017 ,"自動車取得税交付金",192000,0.1,192000,0.1
2017 ,"交通安全対策特別交付金",45000,0.0,45000,0.0
2017 ,"地方特例交付金",60000,0.0,60000,0.0
2017 ,"特別区交付金",1200001,0.7,1852305,1.0
2017 ,"分担金及び負担金",1548518,0.9,1548518,0.9
2017 ,"使用料及び手数料",7750724,4.7,7750724,4.3
2017 ,"国庫支出金",13631789,8.2,11919876,6.6
2017 ,"都支出金",6092073,3.7,6460719,3.6
2017 ,"財産収入",462101,0.3,1717167,1.0
2017 ,"寄附金",95209,0.1,321789,0.2
2017 ,"繰入金",43988550,26.5,50009135,27.8
2017 ,"繰越金",1000000,0.6,3460942,1.9
2017 ,"諸収入",2413840,1.5,2371055,1.3
2017 ,"特別区債",0,0.0,0,0.0
2018 ,"特別区税",77296440,55.7,,
2018 ,"地方譲与税",436401,0.3,,
2018 ,"利子割交付金",250000,0.2,,
2018 ,"配当割交付金",700000,0.5,,
2018 ,"株式等譲渡所得割交付金",480000,0.3,,
2018 ,"地方消費税交付金",10841311,7.8,,
2018 ,"自動車取得税交付金",202000,0.1,,
2018 ,"交通安全対策特別交付金",45000,0.0,,
2018 ,"地方特例交付金",50000,0.0,,
2018 ,"特別区交付金",1500001,1.1,,
2018 ,"分担金及び負担金",1744279,1.3,,
2018 ,"使用料及び手数料",7896817,5.7,,
2018 ,"国庫支出金",13850184,10.0,,
2018 ,"都支出金",7206486,5.2,,
2018 ,"財産収入",564217,0.4,,
2018 ,"寄附金",168150,0.1,,
2018 ,"繰入金",10951136,7.9,,
2018 ,"繰越金",2000000,1.4,,
2018 ,"諸収入",2697578,1.9,,
2018 ,"特別区債",0,0.0,,

"平成30年度港区行政資料集　 一般会計歳入予算（款別）","Ver201803",,,,
