"年月日","0～ 4歳[人]","5～ 9歳[人]","10～14歳[人]","15～19歳[人]","20～24歳[人]","25～29歳[人]","30～34歳[人]","35～39歳[人]","40～44歳[人]","45～49歳[人]","50～54歳[人]","55～59歳[人]","60～64歳[人]","65～69歳[人]","70～74歳[人]","75～79歳[人]","80～84歳[人]","85～89歳[人]","90～94歳[人]","95～99歳[人]","100～歳[人]","合計[人]"
"20110101","10079","7183","6130","5725","8576","15455","20697","23070","20217","16354","12067","10638","13289","9968","8323","7473","5232","3301","1338","415","69","205599"
"20120101","10271","7470","6287","5732","8445","15520","20350","22869","21550","16763","12565","10428","13321","9909","8565","7617","5397","3448","1392","422","76","208397"
"20130101","11633","8628","7010","6329","9193","17607","23151","25698","24454","19793","14794","11299","12867","10972","8982","7768","5763","3493","1570","451","83","231538"
"20140101","11914","9078","7130","6525","9143","17209","23034","25450","25189","20949","15607","11777","11906","11586","9397","7600","5947","3637","1685","484","90","235337"
"20150101","12683","9425","7411","6579","9437","17109","23071","25475","25710","21888","16744","12231","11073","12286","9674","7594","6041","3763","1782","513","96","240585"
"20160101","13224","10043","7549","6748","9570","16825","22745","25119","25904","22339","17847","12923","10700","12825","9389","7586","6228","3846","1925","538","104","243977"
"20170101","13971","10564","7944","6866","9785","17069","22647","25004","25992","23885","18275","13494","10591","12917","9310","7825","6410","3993","2001","591","108","249242"
"20180101","14318","11122","8432","7064","9991","17178","22293","24999","25830","24244","19570","14365","10611","12006","10034","8081","6484","4221","2051","624","121","253639"
"20190101","14615","11539","8957","7175","10268","17125","21891","24657","25692","24858","20602","15146","11117","11075","10635","8429","6403","4363","2094","670","115","257426"
"20200101","14343","12101","9296","7355","10191","17490","21368","24492","25402","25310","21312","16117","11551","10253","11324","8602","6423","4450","2165","720","114","260379"
"2011年～2020年の増減","4264","4918","3166","1630","1615","2035","671","1422","5185","8956","9245","5479","-1738","285","3001","1129","1191","1149","827","305","45","54780"
"2011年～2020年の増減比[％]","42.3 ","68.5 ","51.6 ","28.5 ","18.8 ","13.2 ","3.2 ","6.2 ","25.6 ","54.8 ","76.6 ","51.5 ","-13.1 ","2.9 ","36.1 ","15.1 ","22.8 ","34.8 ","61.8 ","73.5 ","65.2 ","26.6"

"令和2年度港区行政資料集　年齢（５歳階級）別人口の最近10年間の推移","Ver202001",,,,,,,,,,,,,,,,,,,,,
