"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別"
"ＡＮＡインターコンチネンタルホテル東京　Ｋａ－ｔｓｕヘルス＆フィットネスセンター","107-0052","東京都港区赤坂一丁目12番33号",,"2012/3/27","23港み生環き第137号","その他の公衆浴場２号（スポーツ施設）"
"ラポーニュ","107-0052","東京都港区赤坂二丁目14番33号","栄屋清水ビル 4階","2006/8/9","18港み生環き第68号","その他の公衆浴場２号（サウナを主とする施設）"
"赤坂タワーレジデンス　トップオブザヒル","107-0052","東京都港区赤坂二丁目17番50号","2階","2008/4/30","20港み生環き第11号","その他の公衆浴場２号（その他）"
"ＳＰＡＢＬＩＣ","107-0052","東京都港区赤坂三丁目10番4号","赤坂月世界ビル3階","2022/12/22","4港み生環き第164号","その他の公衆浴場２号（サウナを主とする施設）"
"アカサカサウナ","107-0052","東京都港区赤坂三丁目10番17号","マーカスビル4階","2023/4/19","4港み生環き第186号","その他の公衆浴場２号（サウナを主とする施設）"
"パンテオン赤坂店","107-0052","東京都港区赤坂三丁目12番13号","アミューズビル 地下1階","2015/12/17","27港み生環き第169号","その他の公衆浴場２号（その他）"
"ＳＡＵＮＡ　ＴＯＫＹＯ　ＡＫＡＳＡＫＡ","107-0052","東京都港区赤坂三丁目13番4号","赤坂三河家ビル 1階 2階","2023/4/20","4港み生環き第217号","その他の公衆浴場２号（サウナを主とする施設）"
"エフ・イー・エム・サウナ","107-0052","東京都港区赤坂三丁目16番11号","東海赤坂ビル 地下1階","2007/2/28","18港み生環き第127号","その他の公衆浴場２号（サウナを主とする施設）"
"センチュリオン　ホテル　グランド　赤坂","107-0052","東京都港区赤坂三丁目19番3号",,"2013/8/22","25港み生環き第45号","その他の公衆浴場２号（その他）"
"金の亀","107-0052","東京都港区赤坂四丁目2番4号","赤坂Leeビル","2022/11/1","4港み生環き第107号","その他の公衆浴場２号（サウナを主とする施設）"
"港区立健康増進センター","107-0052","東京都港区赤坂四丁目18番13号",,"1995/12/21","4港赤総衛環き第23号","その他の公衆浴場２号（スポーツ施設）"
"Ｌｉｔｔｌｅ　Ｒｅｔｒｅａｔ","107-0052","東京都港区赤坂六丁目3番15号","J-AKASAKA 603","2022/7/21","4港み生環き第18号","その他の公衆浴場２号（サウナを主とする施設）"
"港区立赤坂いきいきプラザ","107-0052","東京都港区赤坂六丁目4番8号",,"1973/10/18","第178号","その他の公衆浴場２号（その他）"
"氷川ガーデンズ","107-0052","東京都港区赤坂六丁目19番19号",,"2006/6/26","18港み生環き第35号","その他の公衆浴場２号（スポーツ施設）"
"エスフォルタ赤坂","107-0052","東京都港区赤坂八丁目5番26号","住友不動産青山ビル西館 地下1階","1992/10/23","4港赤総衛環き第11号","その他の公衆浴場２号（スポーツ施設）"
"ＳｔｅａＭｓ．","107-0052","東京都港区赤坂九丁目5番12号","パークサイドシックスC棟地下1階D号室","2023/6/2","5港み生環き第8号","その他の公衆浴場２号（サウナを主とする施設）"
"ザ・リッツ・カールトン東京スパアンドフィットネス","107-0052","東京都港区赤坂九丁目7番1号","東京ミッドタウン タワー棟46階","2007/3/23","18港み生環き第135号","その他の公衆浴場２号（スポーツ施設）"
"ザ・パークレジデンシィズ・アット・ザ・リッツ・カールトン東京","107-0052","東京都港区赤坂九丁目7番7号","ザ・パークレジデンシィズ・アット・ザ・リッツ・カールトン東京 28・29階","2007/3/23","18港み生環き第142号","その他の公衆浴場２号（その他）"
"ＬＯＣＡ　ＴＨＥ　ＣＬＡＳＳ．別館７Ｆ","106-0045","東京都港区麻布十番一丁目6番1号","THE V-CITY麻布十番PLACE7階","2023/10/12","5港み生環き第129号","その他の公衆浴場２号（サウナを主とする施設）"
"ＬＯＣＡ　ＴＨＥ　ＣＬＡＳＳ．別館８Ｆ","106-0045","東京都港区麻布十番一丁目6番1号","THE V-CITY麻布十番PLACE8階","2023/10/12","5港み生環き第130号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｌｅｄｉａｎ　Ｓｐａ","106-0045","東京都港区麻布十番一丁目6番4号","IWASAKIビル2階","2021/9/30","3港み生環き第120号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｌｅｄｉａｎ　Ｓｐａ","106-0045","東京都港区麻布十番一丁目6番4号","IWASAKIビル3階","2021/9/30","3港み生環き第121号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｌｅｄｉａｎ　Ｓｐａ","106-0045","東京都港区麻布十番一丁目6番4号","IWASAKIビル4階","2022/1/19","3港み生環き第212号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｌｅｄｉａｎ　Ｓｐａ","106-0045","東京都港区麻布十番一丁目6番4号","IWASAKIビル5階","2022/1/19","3港み生環き第213号","その他の公衆浴場２号（サウナを主とする施設）"
"ＡＺＡＢＵ　ＳＡＵＮＡ　ＴＥＮＱＯＯ","106-0045","東京都港区麻布十番一丁目8番2号","TAKAMAビル2階","2023/1/18","4港み生環き第159号","その他の公衆浴場２号（サウナを主とする施設）"
"ＴＨＥ　ＰＲＯＬＡＢＯ　ＳＡＵＮＡ","106-0045","東京都港区麻布十番二丁目3番9号","Mog Wan麻布十番ビル3階","2022/9/7","4港み生環き第72号","その他の公衆浴場２号（サウナを主とする施設）"
"クイーンズウェイ","106-0045","東京都港区麻布十番二丁目4番1号","原ビル1階","2018/2/28","29港み生環き第213号","その他の公衆浴場２号（その他）"
"Ａｒｏｍａｎ　ＳＰＡ　ＣＡＴ　ＢＯ　麻布十番","106-0045","東京都港区麻布十番二丁目4番2号","THE V-CITY麻布十番1 AVENUE 3階","2024/3/6","5港み生環き第215号","その他の公衆浴場２号（サウナを主とする施設）"
"Ａｒｏｍａｎ　ＳＰＡ　ＣＡＴ　ＢＯ　麻布十番","106-0045","東京都港区麻布十番二丁目4番2号","THE V-CITY麻布十番1 AVENUE 4階","2024/3/6","5港み生環き第216号","その他の公衆浴場２号（サウナを主とする施設）"
"サロン　アン　フルール","106-0045","東京都港区麻布十番二丁目12番7号","ラポ-ル麻布十番 2階","2007/3/14","18港み生環き第160号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｎａｔｕｒａｌ＋ｙ（ナチュラルプラスワイ）","106-0045","東京都港区麻布十番二丁目14番4号","エタニティー麻布十番 地下1階","2012/7/30","24港み生環き第41号","その他の公衆浴場２号（その他）"
"ジャヌ東京（ウェルネス）","106-0041","東京都港区麻布台一丁目2番2号","麻布台ヒルズ レジデンスA 3階","2024/2/7","5港み生環き第55号","その他の公衆浴場２号（その他）"
"アマンレジデンス東京（アマンスパ）","106-0041","東京都港区麻布台一丁目3番2号","麻布台ヒルズ森JPタワー54階","2024/2/13","5港み生環き第99号","その他の公衆浴場２号（その他）"
"一般社団法人東京アメリカンクラブ","106-0041","東京都港区麻布台二丁目1番2号",,"2011/1/13","22港み生環き第151号","その他の公衆浴場２号（その他）"
"虎ノ門ヒルズスパ（ＴＯＲＡＮＯＭＯＮ　ＨＩＬＬＳ　ＳＰＡ）","105-0002","東京都港区愛宕一丁目1番1号","虎ノ門ヒルズレジデンシャルタワー3階","2022/3/31","3港み生環き第261号","その他の公衆浴場２号（スポーツ施設）"
"グリーンヒルズ　スパ　（Ｇｒｅｅｎ　Ｈｉｌｌｓ　Ｓｐａ）","105-0002","東京都港区愛宕二丁目3番1号","愛宕フォレストタワー42階","2001/11/20","12港み生環き第161号","その他の公衆浴場２号（スポーツ施設）"
"ゴールドジム浜松町東京","105-0022","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング 2階","2016/1/27","27港み生環き第187号","その他の公衆浴場２号（スポーツ施設）"
"アジュール竹芝スカイビュー浴場","105-0022","東京都港区海岸一丁目11番2号","アジュール竹芝 18階","1991/11/20","63港芝総衛環き第43号","その他の公衆浴場２号（その他）"
"明治神宮外苑テニスクラブ　クラブハウス","107-0061","東京都港区北青山二丁目1番15号",,"1990/9/28","2港赤総衛環き第13号","その他の公衆浴場２号（スポーツ施設）"
"アラマンダ・スパ青山クラブ","107-0061","東京都港区北青山二丁目7番13号","プラセオ青山ビル9、10階","2020/2/12","31港み生環き第210号","その他の公衆浴場２号（スポーツ施設）"
"東急スポーツオアシス　青山","107-0061","東京都港区北青山二丁目8番44号","TEPIAビル 地下2階","2000/3/1","11港み生環き第165号","その他の公衆浴場２号（スポーツ施設）"
"レスパス　ヨンカ　表参道","107-0061","東京都港区北青山三丁目9番8号","YON-KAビル 1階","2015/7/10","27港み生環き第42号","その他の公衆浴場２号（その他）"
"ウエリスアーバン品川タワー","108-0075","東京都港区港南四丁目1番6号","ウエリスアーバン品川タワー24階","2022/12/16","4港み生環き第111号","その他の公衆浴場２号（その他）"
"港区立港南いきいきプラザ","108-0075","東京都港区港南四丁目2番1号",,"2001/12/14","12港み生環き第47号","その他の公衆浴場２号（その他）"
"港区立公衆浴場ふれあいの湯","105-0014","東京都港区芝二丁目2番18号",,"1994/3/11","5港芝総衛環き第9号","普通公衆浴場（銭湯）"
"港区立三田いきいきプラザ","108-0014","東京都港区芝四丁目1番17号",,"1995/3/7","3港芝総衛環き第42号","その他の公衆浴場２号（その他）"
"パラダイス","108-0014","東京都港区芝五丁目23番16号","第一川高ビル1，2階","2022/4/20","3港み生環き第205号","その他の公衆浴場２号（サウナを主とする施設）"
"ブランシェ　スキンケア＆リラクゼーション","108-0023","東京都港区芝浦三丁目10番6号","ローズハイツ田町404","2010/2/23","20港み生環き第94号","その他の公衆浴場２号（その他）"
"ＡＬＷＡＹＳ　ＳＡＵＮＡ","108-0023","東京都港区芝浦三丁目11番10号","恵谷ビル2階","2023/11/28","5港み生環き第158号","その他の公衆浴場２号（サウナを主とする施設）"
"ＮＡＳ　Ｗｅｌｌｎｅｓｓ＆Ｓｐａ　ＣＬＵＢ芝浦アイランド　（ナス　ウェルネス　アンド　スパ　クラブ）","108-0023","東京都港区芝浦四丁目20番3号",,"2008/9/9","20港み生環き第7号","その他の公衆浴場２号（スポーツ施設）"
"プラテシア芝浦アイランド","108-0023","東京都港区芝浦四丁目20番4号","5階","2008/10/24","20港み生環き第118号","その他の公衆浴場２号（その他）"
"Ｓｐａ　ｒｉｃｈｅ（スパリッシェ）","108-0023","東京都港区芝浦四丁目22番2号","エアーテラス 2階","2007/3/14","18港み生環き第143号","その他の公衆浴場２号（その他）"
"ザ・プリンスパークタワー東京","105-0011","東京都港区芝公園四丁目8番1号","地下2階","2005/3/30","15港み生環き第120号","その他の公衆浴場２号（その他）"
"ＥＳＰＡＣＥ　ＢＥＡＵＴＥ　ＴＨＡＬＧＯ（エスパス　ボーテ　タルゴ）","105-0011","東京都港区芝公園四丁目8番1号","ザ・プリンスパークタワー東京地下2階","2018/4/19","29港み生環き第241号","その他の公衆浴場２号（その他）"
"カプセルイン浜松町","105-0012","東京都港区芝大門一丁目16番6号","カプセルイン浜松町 地下1階～1階","2003/8/8","15港み生環き第69号","その他の公衆浴場２号（その他）"
"Ｓｏｍｅｄａｙ　Ｐｒｅｍｉｕｍ（サムデイプレミアム）","108-0072","東京都港区白金一丁目29番13号","白金ビレッジ101","2013/5/29","25港み生環き第34号","その他の公衆浴場２号（サウナを主とする施設）"
"アルビオン白金教育センター","108-0072","東京都港区白金二丁目6番8号",,"2007/10/2","19港み生環き第39号","その他の公衆浴場２号（その他）"
"港区立白金いきいきプラザ","108-0072","東京都港区白金三丁目10番12号",,"1992/7/1","2港芝総衛環き第29号","その他の公衆浴場２号（その他）"
"三越湯","108-0072","東京都港区白金五丁目12番16号",,"2004/5/31","15港み生環き第107号","普通公衆浴場（銭湯）"
"スパ白金","108-0071","東京都港区白金台一丁目1番18号",,"1984/6/29","58港芝保衛環き第53号","その他の公衆浴場２号（スポーツ施設）"
"都ヘルスクラブ","108-0071","東京都港区白金台一丁目1番50号","都ホテル 地下1階～地下2階","1998/11/18","10港み生環き第82号","その他の公衆浴場２号（スポーツ施設）"
"エステティックサロン　ゲラン・パリ","108-0071","東京都港区白金台一丁目1番50号","都ホテル東京 地下1階","2003/10/3","15港み生環き第88号","その他の公衆浴場２号（その他）"
"白金うさぎ","108-0071","東京都港区白金台二丁目12番18号","1階101","2019/7/17","31港み生環き第65号","その他の公衆浴場２号（その他）"
"Ｌａｎｉ　Ｏｌａ　ＰＬＡＴＩＮＵＭ（ラニオラプラチナム）","108-0071","東京都港区白金台三丁目18番1号","八百吉ビル5階","2014/10/31","26港み生環き第128号","その他の公衆浴場２号（その他）"
"港区立白金台いきいきプラザ","108-0071","東京都港区白金台四丁目8番5号",,"1990/2/21","62港芝総衛環き第64号","その他の公衆浴場２号（その他）"
"オリーブスパ白金台","108-0071","東京都港区白金台四丁目9番2号","PANTHEON白金台 地下1階","2019/9/2","31港み生環き第68号","その他の公衆浴場２号（サウナを主とする施設）"
"オールドルーキーサウナ　銀座中央通り店","105-0004","東京都港区新橋一丁目7番11号","近鉄銀座中央通りビル2　2階","2023/7/21","5港み生環き第28号","その他の公衆浴場２号（サウナを主とする施設）"
"ライオンサウナ新橋","105-0004","東京都港区新橋二丁目15番14号","新橋二丁目ビル地下1階、1、2、3、4階","2023/2/22","4港み生環き第199号","その他の公衆浴場２号（サウナを主とする施設）"
"チェックイン新橋","105-0004","東京都港区新橋二丁目15番17号",,"2004/6/4","14港み生環き第158号","その他の公衆浴場２号（その他）"
"オアシスサウナ　アスティル","105-0004","東京都港区新橋三丁目12番3号",,"2003/6/3","14港み生環き第139号","その他の公衆浴場２号（サウナを主とする施設）"
"カプセルホテル安心お宿新橋店癒しの湯","105-0004","東京都港区新橋三丁目21番6号",,"2010/11/24","22港み生環き第123号","その他の公衆浴場２号（その他）"
"台場高齢者在宅サービスセンター","135-0091","東京都港区台場一丁目5番5号","1階ふれあい・だんらん室","1996/5/22","5港芝総衛環き第25号","その他の公衆浴場２号（その他）"
"ヒルトン東京お台場","135-0091","東京都港区台場一丁目9番1号","ヒルトン東京お台場 3階～4階","1996/3/5","7港芝総衛環き第16号","その他の公衆浴場２号（その他）"
"Ｌｅ　ＣＬＵＢ　浴場","135-0091","東京都港区台場二丁目6番1号","グランドニッコー東京 台場 3階","2005/6/28","17港み生環き第50号","その他の公衆浴場２号（その他）"
"高輪ザ・レジデンス内スパ","108-0074","東京都港区高輪一丁目27番37号","2階","2005/12/2","17港み生環き第101号","その他の公衆浴場２号（その他）"
"ザ・プリンスさくらタワー東京　サウナ＆ブロアバス","108-0074","東京都港区高輪三丁目13番1号",,"1998/9/29","9港芝総衛環き第49号","その他の公衆浴場２号（その他）"
"港区立高輪いきいきプラザ","108-0074","東京都港区高輪三丁目18番15号",,"2011/4/1","22港み生環き第188号","その他の公衆浴場２号（その他）"
"高輪フォーラム","108-0074","東京都港区高輪四丁目25番46号",,"2013/5/22","23港み生環き第163号","その他の公衆浴場２号（その他）"
"にっぽん丸公衆浴場（船舶）","105-0001","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル11階(本社所在地)","2002/8/30","14港み生環き第61号","その他の公衆浴場２号（その他）"
"にっぽん丸　スパ＆サロン","105-0001","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル11階(本社所在地)","2010/3/26","21港み生環き第154号","その他の公衆浴場２号（その他）"
"港区立虎ノ門いきいきプラザ","105-0001","東京都港区虎ノ門一丁目21番10号",,"2015/7/29","27港み生環き第86号","その他の公衆浴場２号（その他）"
"Ａｏスパ＆クラブ（アオ　スパ＆クラブ）","105-0001","東京都港区虎ノ門一丁目23番4号","37階","2014/6/4","25港み生環き第158号","その他の公衆浴場２号（スポーツ施設）"
"オークラ東京　Ｏｋｕｒａ　Ｆｉｔｎｅｓｓ＆Ｓｐａ（ＡＮＮＡＹＡＫＥ）","105-0001","東京都港区虎ノ門二丁目10番4号","26、27階","2019/9/4","31港み生環き第41号","その他の公衆浴場２号（その他）"
