"年度","区分","18歳未満[人]","18歳以上[人]","合計[人]"
"2015","合計","232","542","774"
"2016","合計","241","562","803"
"2017","合計","255","565","820"
"2018","合計","273","578","851"
"2019","１度","8","33","41"
"2019","２度","77","194","271"
"2019","３度","62","156","218"
"2019","４度","137","204","341"
"2019","合計","284","587","871"

"令和2年度港区行政資料集　愛の手帳所持者数","Ver202003",,,
