"年度","求職者数 新規[人]","求職者数 再来[人]","求職者数 合計[人]","就職者数[人]","求人開拓数 件数[件]","求人開拓数 延求人数[人]","就業促進事業(セミナー・面・相)参加者数[人]"
"2017","886","941","1827","203","1728","3790","3200"
"2018","944","879","1823","229","2051","4276","3554"
"2019","937","645","1582","204","2525","5509","3502"
"2020","664","522","1186","129","1596","3553","2957"
"2021","531","332","863","99","1362","3113","2663"

"令和4年度港区行政資料集　港区アクティブシニア就業支援センター活動状況（無料職業紹介所「みなと＊しごと５５」）","Ver202203",,,,,,
