地域,Area,ネット平成23年(Ｎｅｔ2011)構成比(%),ネット平成28年(Ｎｅｔ2016)構成比(%)
都心,Corecenter,650.7,823.1
新宿,Shinjuku,635.6,705.1
渋谷,Shibuya,461.5,526.8
池袋,Ikebukuro,614.9,705.5
大崎,Osaki,534,624.2
上野・浅草,Ueno/Asakusa,337.7,360.8
錦糸町・亀戸,Kinshicho/Kameido,354.43,375.5
臨海地区,Waterfront,350.7,362.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
