区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-5／道路構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H23(2011),57.9,4.5,6.3,2.7,21.9,18.7,1.0,4.8,0.1,0.8
H28(2016),58.4,4.2,6.5,2.4,22.0,18.9,0.9,4.8,0.1,0.8
