地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
都心,Corecenter,27.5,67.9,1.3,3.4,-
新宿,Shinjuku,16,66.4,13.5,4.1,-
渋谷,Shibuya,10.2,72.7,15.1,2,-
池袋,Ikebukuro,11.7,67.8,16.2,4.3,-
大崎,Osaki,2.6,60.1,29.9,7.3,-
上野・浅草,Ueno/Asakusa,16.6,51.4,22.6,9.4,-
錦糸町・亀戸,Kinshicho/Kameido,11,40.2,41.6,7.2,-
臨海地区,Waterfront,21.6,54.9,9.3,14.2,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
