地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
千代田区,Chiyoda-ku,96,1.1,2.5,0.5
中央区,Chuo-ku,90.1,3.2,6,0.8
港区,Minato-ku,86.3,5.4,6.7,1.7
新宿区,Shinjuku-ku,69.4,10.4,19.1,1.1
文京区,Bunkyo-ku,63.2,12.8,22,2
台東区,Taito-ku,62.5,10.1,23.2,4.1
墨田区,Sumida-ku,51,22.5,24.1,2.3
江東区,Koto-ku,66.9,19.7,12.4,0.9
品川区,Shinagawa-ku,53.9,11.9,31.8,2.4
目黒区,Meguro-ku,50.4,21.2,26.2,2.3
大田区,Ota-ku,44.4,19.6,31.9,4
世田谷区,Setagaya-ku,38.3,18.2,40.2,3.4
渋谷区,Shibuya-ku,73.7,8.2,17.1,0.9
中野区,Nakano-ku,39.5,17,39.2,4.3
杉並区,Suginami-ku,30.2,17.3,48,4.5
豊島区,Toshima-ku,55.1,17.5,25.4,2
北区,Kita-ku,48.3,16.3,33.5,1.9
荒川区,Arakawa-ku,41,27.6,29,2.3
板橋区,Itabashi-ku,46.6,22.6,27.7,3.1
練馬区,Nerima-ku,34.2,11.3,47.9,6.6
足立区,Adachi-ku,38.4,24.3,33.7,3.6
葛飾区,Katsushika-ku,37.8,17.7,39.9,4.6
江戸川区,Edogawa-ku,33.2,29,33.6,4.2
