地域,Area,平成23年(2011)（棟）,平成28年(2016)（棟）
千代田区,Chiyoda-ku,11488,11119
中央区,Chuo-ku,16760,16495
港区,Minato-ku,27812,26997
新宿区,Shinjuku-ku,50478,50108
文京区,Bunkyo-ku,35733,35705
台東区,Taito-ku,38963,38424
墨田区,Sumida-ku,47096,46467
江東区,Koto-ku,51142,51071
品川区,Shinagawa-ku,60755,61288
目黒区,Meguro-ku,49972,50824
大田区,Ota-ku,131654,134420
世田谷区,Setagaya-ku,163562,169431
渋谷区,Shibuya-ku,36720,36777
中野区,Nakano-ku,62293,64178
杉並区,Suginami-ku,117688,121099
豊島区,Toshima-ku,51512,52423
北区,Kita-ku,61959,62435
荒川区,Arakawa-ku,40034,40084
板橋区,Itabashi-ku,89830,91320
練馬区,Nerima-ku,142820,147732
足立区,Adachi-ku,137791,141126
葛飾区,Katsushika-ku,101021,102133
江戸川区,Edogawa-ku,127717,130139
,,,
,,,
,,,
,,,
,,,
