地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
都心,Corecenter,98.4,98.6
新宿,Shinjuku,95.8,96.4
渋谷,Shibuya,95.6,96.2
池袋,Ikebukuro,97.1,97.7
大崎,Osaki,94.5,96.3
上野・浅草,Ueno/Asakusa,82.2,83.7
錦糸町・亀戸,Kinshicho/Kameido,83.4,85.3
臨海地区,Waterfront,100,100
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
