地域,Area,平成23年(2011)（棟）,平成28年(2016)（棟）
山手線内側,InsideJRYamanoteLine,136437,135210
環状６号線内側,InsideRingRoadNo.6,430953,428565
環状７号線内側,InsideRingRoadNo.7,858123,861233
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
