地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等（道路）構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
都心,Corecenter,54.9,1.1,4,2,37.7,-,0.4,-,-
新宿,Shinjuku,59.1,2,4,1.8,33,-,0.1,-,-
渋谷,Shibuya,61.5,1.8,1.1,4.3,30.8,0,0.4,-,-
池袋,Ikebukuro,55.2,2.7,2.9,1,38.2,-,-,-,-
大崎,Osaki,59.8,1.9,1.1,1.4,32.4,-,3.3,0,-
上野・浅草,Ueno/Asakusa,58.7,2.9,2.4,1.1,34.9,-,-,-,-
錦糸町・亀戸,Kinshicho/Kameido,54.9,3.7,5.3,0.6,34.1,-,1.3,-,-
臨海地区,Waterfront,31.9,6.9,22.4,14.3,24.5,-,0,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
