地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
都心,Corecenter,12.6,4.2,0.2,0.1,60.6,7.5,3.9,5.2,0.2,0.4,0.9,0,0.1,4,0
新宿,Shinjuku,2.8,5.8,2.5,0.4,35.8,15.1,4.8,13.4,3.2,2.2,9.9,0.1,0.2,3.8,0
渋谷,Shibuya,1.9,5.6,1.4,0.7,35.8,16.6,15.2,7,2.1,3.3,7.2,0,0,3.1,0
池袋,Ikebukuro,3.2,6.7,0.9,1.1,28.7,23.7,5.4,9.5,3.7,1.2,11.3,0.3,0.1,4.4,0
大崎,Osaki,0.7,1.5,0.4,0.4,41.1,8.1,5.4,4,1.3,2,25.3,5.4,0.8,3.6,0
上野・浅草,Ueno/Asakusa,0.9,8.8,1.1,0.1,24.6,9.2,18.6,5.2,0.4,9.2,12.4,0.3,2.9,6.3,0
錦糸町・亀戸,Kinshicho/Kameido,2.4,4.5,1.1,0.8,12.8,10.5,15.9,5,2.8,11.7,24.2,2.5,3,3,0
臨海地区,Waterfront,1.5,9.8,1.5,5.2,20.7,31.6,0.6,8.1,2.6,0,6.5,0,0.6,11.2,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
