地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等（道路）構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
千代田区,Chiyoda-ku,57.9,1.2,6.9,1.2,27.6,-,5.2,-,-
中央区,Chuo-ku,43.9,1.6,4.7,3.6,29.7,-,16.5,-,-
港区,Minato-ku,60.4,2.6,7.2,2.8,23.9,-,3.1,0,0
新宿区,Shinjuku-ku,68.1,2,6.4,1.5,21.2,0,0.6,0,0
文京区,Bunkyo-ku,70.1,1.7,7.3,1.1,19.4,0,0.4,-,-
台東区,Taito-ku,55.5,3.2,8.3,1,28,0,4,-,-
墨田区,Sumida-ku,55.3,3.8,6.7,1.2,25.3,-,7.2,-,0.4
江東区,Koto-ku,47.6,4.5,10.5,4.3,20.5,0,12.6,-,-
品川区,Shinagawa-ku,58.4,6.4,6,1.1,24,0,3.9,-,0.2
目黒区,Meguro-ku,73.5,2.4,3.2,1.5,18.6,0.1,0.6,-,0
大田区,Ota-ku,50.3,3.5,4.9,1.4,33.1,0.1,5.8,0,1
世田谷区,Setagaya-ku,68,3.2,5.7,1.5,17.9,1.9,0.9,0.3,0.7
渋谷区,Shibuya-ku,69,1.9,6.2,2,20.8,0,0.2,-,-
中野区,Nakano-ku,72,3.1,3.4,1.6,18.9,0,0.3,0.7,0
杉並区,Suginami-ku,70.9,3.1,4.6,1.2,17.9,1.3,0.8,0,0.1
豊島区,Toshima-ku,68.8,3.1,3.8,1.2,22.9,0,0.1,-,-
北区,Kita-ku,56.8,3.4,8.3,2.4,22.2,0,5.7,0.2,1
荒川区,Arakawa-ku,59.7,4.6,5.7,1.4,23.6,0,4.9,-,-
板橋区,Itabashi-ku,62.2,4.8,7.3,1.2,20.5,0.7,2.6,0,0.7
練馬区,Nerima-ku,63.4,5.2,5.6,1.8,18.9,4.5,0.6,0,0.1
足立区,Adachi-ku,54.7,6.2,7.4,2.1,21,1.1,5.6,0,2
葛飾区,Katsushika-ku,52.2,5.3,7.9,1.4,20.4,1.2,8.8,-,2.7
江戸川区,Edogawa-ku,48.8,6.6,8.1,1.1,20.7,1.1,10.8,0,2.8
中央防波堤,CentralBreakwater,9.8,10.9,-,58.6,9.9,-,10.8,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
