地域,Area,グロス平成23年(Gross2011)構成比(%),グロス平成28年(Gross　2016)構成比(%)
山手線内側,InsideJRYamanoteLine,188.3,211.3
環状６号線内側,InsideRingRoadNo.6,157.9,173.9
環状７号線内側,InsideRingRoadNo.7,130.8,142.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
