地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等（道路）構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
都心,Corecenter,53.3,0.9,3.9,4,37.4,-,0.4,-,-
新宿,Shinjuku,59.8,2,4.1,1.2,32.9,-,0.1,-,-
渋谷,Shibuya,63.5,2,1.3,1.9,31,-,0.3,-,-
池袋,Ikebukuro,55.2,2.5,2.4,1.5,38.4,-,-,-,-
大崎,Osaki,56.7,2.1,0.8,3.7,33.4,-,3.2,-,-
上野・浅草,Ueno/Asakusa,58.1,2.6,2.6,1.6,35.2,-,-,-,-
錦糸町・亀戸,Kinshicho/Kameido,55,3.6,5.5,0.6,34,-,1.3,-,-
臨海地区,Waterfront,30.1,7.6,22.4,15.4,23.8,-,0.6,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
