区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H23(2011),69.7,9.8,18.7,1.8,,,,,,,,,,,
H28(2016),71.7,10.3,16.6,1.4,,,,,,,,,,,
