地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
都心,Corecenter,10.9,2.1,0.2,0,71.9,6.1,1.9,4.8,0.2,0.1,1,0,0,0.9,0
新宿,Shinjuku,3.7,3.7,2.6,0.1,49.9,11,2.1,14.3,1.2,0.3,9.8,0,0,1.1,0
渋谷,Shibuya,1.7,4.4,0.7,0.4,44.9,13.6,11.7,9.3,1.9,0.9,10,0,0,0.6,0
池袋,Ikebukuro,1.8,5.3,0.4,0.5,25.1,28.9,3.2,9.8,4.3,0.2,19.2,0,0,1.3,0
大崎,Osaki,0.2,0.9,0.4,0.1,46.3,5.5,2.5,4.5,0.4,0.4,36.6,1.2,0.2,0.8,0
上野・浅草,Ueno/Asakusa,1.1,4.5,1.2,0,29.7,8.9,12.2,7.7,4.2,0.2,25,0.1,1.3,3.8,0
錦糸町・亀戸,Kinshicho/Kameido,1.1,3.5,2.9,0.4,17.2,10,10.3,6,2,4.6,38.4,0.9,1.2,1.5,0
臨海地区,Waterfront,1.5,8.9,2.3,4.1,28.8,15.5,0.4,10.5,1.1,0,20.6,0.1,0,6.2,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
