地域,Area,グロスGross構成比(%),ネットNet構成比(%)
千代田区,Chiyoda-ku,28.1,48.6
中央区,Chuo-ku,29.8,67.9
港区,Minato-ku,29.8,49.4
新宿区,Shinjuku-ku,37.5,55
文京区,Bunkyo-ku,38.7,55.2
台東区,Taito-ku,37.3,67.2
墨田区,Sumida-ku,33.7,60.9
江東区,Koto-ku,22.3,46.8
品川区,Shinagawa-ku,30.1,51.5
目黒区,Meguro-ku,38.8,52.8
大田区,Ota-ku,25,49.8
世田谷区,Setagaya-ku,33.1,48.7
渋谷区,Shibuya-ku,35.9,52.1
中野区,Nakano-ku,39.4,54.7
杉並区,Suginami-ku,36,50.7
豊島区,Toshima-ku,40.3,58.6
北区,Kita-ku,29.2,51.3
荒川区,Arakawa-ku,34.5,57.7
板橋区,Itabashi-ku,31.6,50.9
練馬区,Nerima-ku,31,48.8
足立区,Adachi-ku,26.2,47.9
葛飾区,Katsushika-ku,27.1,51.9
江戸川区,Edogawa-ku,25.5,52.3
,,,
,,,
,,,
,,,
,,,
