地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
千代田区,Chiyoda-ku,9.8,16.9
中央区,Chuo-ku,15.8,35.9
港区,Minato-ku,12.9,21.3
新宿区,Shinjuku-ku,27.5,40.3
文京区,Bunkyo-ku,31.5,44.9
台東区,Taito-ku,38.1,68.7
墨田区,Sumida-ku,33.9,61.2
江東区,Koto-ku,12.2,22.5
品川区,Shinagawa-ku,26.1,44.7
目黒区,Meguro-ku,34.4,46.8
大田区,Ota-ku,21.6,43
世田谷区,Setagaya-ku,29.2,12.9
渋谷区,Shibuya-ku,24.3,35.3
中野区,Nakano-ku,41.2,57.3
杉並区,Suginami-ku,35.7,50.4
豊島区,Toshima-ku,40.4,58.7
北区,Kita-ku,3.04,53.5
荒川区,Arakawa-ku,39.2,65.6
板橋区,Itabashi-ku,28.5,45.8
練馬区,Nerima-ku,30.7,48.3
足立区,Adachi-ku,26.5,48.5
葛飾区,Katsushika-ku,29.3,56.2
江戸川区,Edogawa-ku,26.8,54.8
,,,
,,,
,,,
,,,
,,,
