地域,Area,平成23年(2011)（階）,平成28年(2016)（階）
千代田区,Chiyoda-ku,5.5,5.7
中央区,Chuo-ku,5,5.2
港区,Minato-ku,4.1,4.2
新宿区,Shinjuku-ku,3.1,3.2
文京区,Bunkyo-ku,2.9,3
台東区,Taito-ku,3.3,3.4
墨田区,Sumida-ku,2.8,2.9
江東区,Koto-ku,2.9,3
品川区,Shinagawa-ku,2.6,2.7
目黒区,Meguro-ku,2.4,2.5
大田区,Ota-ku,2.4,2.4
世田谷区,Setagaya-ku,2.3,2.3
渋谷区,Shibuya-ku,3.2,3.3
中野区,Nakano-ku,2.4,2.4
杉並区,Suginami-ku,2.2,2.2
豊島区,Toshima-ku,2.8,2.8
北区,Kita-ku,2.5,2.6
荒川区,Arakawa-ku,2.6,2.6
板橋区,Itabashi-ku,2.4,2.5
練馬区,Nerima-ku,2.2,2.2
足立区,Adachi-ku,2.2,2.3
葛飾区,Katsushika-ku,2.3,2.3
江戸川区,Edogawa-ku,2.4,2.4
,,,
,,,
,,,
,,,
,,,
