地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
都心,Corecenter,89.4,89.8
新宿,Shinjuku,83.7,84.8
渋谷,Shibuya,83.6,84.2
池袋,Ikebukuro,84.3,86
大崎,Osaki,82.9,84.3
上野・浅草,Ueno/Asakusa,65.4,67
錦糸町・亀戸,Kinshicho/Kameido,60.5,61.9
臨海地区,Waterfront,69.7,68.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
