地域,Area,平成23年(2011)（m2）,平成28年(2016)（m2）
都心,Corecenter,565.5,606.1
新宿,Shinjuku,468.6,484.1
渋谷,Shibuya,354.5,360.3
池袋,Ikebukuro,327,325.9
大崎,Osaki,527.3,555
上野・浅草,Ueno/Asakusa,152.4,155.2
錦糸町・亀戸,Kinshicho/Kameido,219,221.2
臨海地区,Waterfront,6705.4,7123.5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
