地域,Area,平成23年(2011)（棟）,平成28年(2016)（棟）
都心,Corecenter,5127,4928
新宿,Shinjuku,3421,3319
渋谷,Shibuya,2724,2713
池袋,Ikebukuro,2237,2227
大崎,Osaki,1376,1343
上野・浅草,Ueno/Asakusa,10313,10233
錦糸町・亀戸,Kinshicho/Kameido,5168,5087
臨海地区,Waterfront,199,197
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
