地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
都心,Corecenter,99.7,99.8
新宿,Shinjuku,99.3,99.4
渋谷,Shibuya,98.8,99.1
池袋,Ikebukuro,99.3,99.5
大崎,Osaki,98.8,99.3
上野・浅草,Ueno/Asakusa,92.9,93.9
錦糸町・亀戸,Kinshicho/Kameido,94.2,95.1
臨海地区,Waterfront,100,100
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
