地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ・興業施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
都心,Corecenter,12.5,3.8,0.2,0.1,60.1,8.7,3.6,0.2,5.5,0.3,1.1,0,0.1,3.8,0
新宿,Shinjuku,2.8,5.6,2.5,0.6,34.6,15.5,4.3,13.5,2.9,1.9,11.3,0,0.1,4.5,0
渋谷,Shibuya,2.2,5.4,0.9,0.7,36.1,15.3,15.4,6.9,2.1,3.1,9.5,0,0.1,2.2,0
池袋,Ikebukuro,2.2,6.6,0.9,1,28.9,24.3,5.3,9.8,3.8,1,12.2,0.2,0.1,3.8,0
大崎,Osaki,0.5,1.4,0.7,0.3,41.7,8.2,4.8,4.4,1.3,1.9,26.8,3.6,0.7,3.8,0
上野・浅草,Ueno/Asakusa,0.9,8.6,1.2,0,24,9.2,18.1,5.5,0.3,8.9,14.2,0.3,2.7,6,0
錦糸町・亀戸,Kinshicho/Kameido,1.1,4.6,2.4,0.8,12.2,10.6,14.9,4.6,2.9,11.9,26.7,2.2,2.6,2.6,0
臨海地区,Waterfront,1.5,10.5,1.5,5,19.5,33.5,0.6,7.9,2.5,0,5.8,0.6,0,10.9,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
