地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
都心,Corecenter,28.7,66.5,1.2,3.6,-
新宿,Shinjuku,15.7,67.6,12.8,4,-
渋谷,Shibuya,11.2,72.8,13.3,2.8,-
池袋,Ikebukuro,12.7,66.7,15.5,5.1,-
大崎,Osaki,2.9,59,28.6,9.5,-
上野・浅草,Ueno/Asakusa,16.6,52.3,21,10.1,-
錦糸町・亀戸,Kinshicho/Kameido,11.3,41.4,39,8.3,-
臨海地区,Waterfront,20.5,54.1,10.6,14.8,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
