地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
千代田区,Chiyoda-ku,99.2,99.4
中央区,Chuo-ku,98.1,98.5
港区,Minato-ku,97.3,97.9
新宿区,Shinjuku-ku,90.7,92.4
文京区,Bunkyo-ku,88.4,90.3
台東区,Taito-ku,85.8,87.8
墨田区,Sumida-ku,84.4,88.1
江東区,Koto-ku,93.4,94.4
品川区,Shinagawa-ku,82,84.5
目黒区,Meguro-ku,79.1,82.9
大田区,Ota-ku,75.8,77
世田谷区,Setagaya-ku,66.1,68.8
渋谷区,Shibuya-ku,90.5,92.6
中野区,Nakano-ku,65.9,71.3
杉並区,Suginami-ku,57.3,60
豊島区,Toshima-ku,83.8,86.7
北区,Kita-ku,76.9,80
荒川区,Arakawa-ku,80.2,83.3
板橋区,Itabashi-ku,78.5,81.4
練馬区,Nerima-ku,58.3,60.1
足立区,Adachi-ku,71.3,74.8
葛飾区,Katsushika-ku,66.1,68.8
江戸川区,Edogawa-ku,73.4,75.6
