地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
千代田区,Chiyoda-ku,99.2,0.2,0.5,0.1
中央区,Chuo-ku,97.8,0.7,1.3,0.2
港区,Minato-ku,96.3,1.6,1.7,0.3
新宿区,Shinjuku-ku,87.7,4.7,7.3,0.3
文京区,Bunkyo-ku,83.4,6.8,9,0.7
台東区,Taito-ku,81.5,6.2,10.7,1.5
墨田区,Sumida-ku,74.9,13.2,11,0.9
江東区,Koto-ku,86.7,7.7,5.2,0.3
品川区,Shinagawa-ku,78.2,6.3,14.7,0.9
目黒区,Meguro-ku,68.1,14.8,16,1.1
大田区,Ota-ku,63.3,13.7,20.8,2.2
世田谷区,Setagaya-ku,54,14.8,29.3,1.9
渋谷区,Shibuya-ku,88.4,4.2,7.1,0.3
中野区,Nakano-ku,57.9,13.3,26.4,2.4
杉並区,Suginami-ku,45.2,14.8,37.2,2.8
豊島区,Toshima-ku,76.7,10,12.5,0.8
北区,Kita-ku,69.2,10.9,19.2,0.8
荒川区,Arakawa-ku,64.5,18.7,15.8,0.9
板橋区,Itabashi-ku,66,15.4,17.1,1.5
練馬区,Nerima-ku,51.3,8.8,35.7,4.1
足立区,Adachi-ku,57.3,17.5,23.2,2
葛飾区,Katsushika-ku,54.4,14.3,28.5,2.7
江戸川区,Edogawa-ku,54.1,21.5,22.2,2.2
