地域,Area,平成23年(2011)（階）,平成28年(2016)（階）
都心,Corecenter,6.3,6.6
新宿,Shinjuku,5.4,5.6
渋谷,Shibuya,5.3,5.4
池袋,Ikebukuro,5.8,6.1
大崎,Osaki,5.9,6.2
上野・浅草,Ueno/Asakusa,3.9,4.1
錦糸町・亀戸,Kinshicho/Kameido,3.6,3.7
臨海地区,Waterfront,7.1,7.3
