地域,Area,平成23年(2011)（m2）,平成28年(2016)（m2）
千代田区,Chiyoda-ku,558.9,591.3
中央区,Chuo-ku,263.7,278.5
港区,Minato-ku,456.7,469.2
新宿区,Shinjuku-ku,247.4,248.2
文京区,Bunkyo-ku,222.3,222.8
台東区,Taito-ku,142.8,145.5
墨田区,Sumida-ku,160.8,163.3
江東区,Koto-ku,378.4,391.4
品川区,Shinagawa-ku,223.9,223.5
目黒区,Meguro-ku,215,213.5
大田区,Ota-ku,234.2,232.4
世田谷区,Setagaya-ku,240.2,233
渋谷区,Shibuya-ku,283.3,283.5
中野区,Nakano-ku,179.5,174.6
杉並区,Suginami-ku,202.9,198.5
豊島区,Toshima-ku,173.4,170.3
北区,Kita-ku,188.2,186.8
荒川区,Arakawa-ku,151.4,152.4
板橋区,Itabashi-ku,218.7,218.5
練馬区,Nerima-ku,211.5,206.9
足立区,Adachi-ku,207.9,206.4
葛飾区,Katsushika-ku,178.8,178
江戸川区,Edogawa-ku,184.6,182.4
,,,
,,,
,,,
,,,
,,,
