地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
都心,Corecenter,21.6,5.5,0.2,0.2,52.9,7.2,2.9,4.7,0.2,0.3,1,0,0.1,3.3,0
新宿,Shinjuku,3.7,8,3.4,0.8,35.9,12.6,4,11.3,2.6,2,11.5,0,0.1,4,0
渋谷,Shibuya,2.3,6.3,0.9,0.8,36.2,12.5,15.5,6.5,2,3.6,11.5,-,-,1.9,0
池袋,Ikebukuro,2.6,6.7,0.8,1.6,28.1,21,5.5,9.7,3.5,1.3,14.9,0.3,0.1,3.9,0
大崎,Osaki,0.4,1.3,0.6,0.3,43.9,8.2,3.8,3.3,0.9,1.9,28,3.4,0.6,3.4,0
上野・浅草,Ueno/Asakusa,1,14.1,1.5,0,21.5,8,16.6,5.1,0.2,8.7,13.9,0.3,2.4,6.7,0
錦糸町・亀戸,Kinshicho/Kameido,1.1,6.5,2.3,1,11.4,9.9,12.9,3.8,2.3,12,29.6,1.9,2.3,3,0
臨海地区,Waterfront,1.6,13.2,1.5,5.3,17.2,28,0.6,7.6,1.6,0,9.3,0.8,0,13.5,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
