区分,ネット平成23年(Net2011)構成比(%),ネット平成28年(Net2016)構成比(%)
BP-1／官公庁施設,29.1,29.6
BP-2／教育文化施設,32.2,32.7
BP-3／厚生医療施設,49.4,50.1
BP-4／供給処理施設,29.4,32.9
BC-1／事務所建築物,61.1,61.1
BC-2／専用商業施設,59.6,56.7
BC-3／住商併用施設,65.7,65.8
BC-4／宿泊・遊興施設,59,59.9
BC-5／スポーツ・興行施設,38.9,39.7
BR-1／独立住宅,52.8,53.4
BR-2／集合住宅,52.4,52.9
BI-1／専用工場,52.9,52.9
BI-2／住居併用工場,66.5,66.6
BI-3／倉庫運輸関係施設,46.2,46.8
BA／農林漁業施設,27.5,32.1
