地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
千代田区,Chiyoda-ku,96.4,97.1
中央区,Chuo-ku,92.4,93.3
港区,Minato-ku,89.8,91.6
新宿区,Shinjuku-ku,76.9,79.8
文京区,Bunkyo-ku,72.5,76
台東区,Taito-ku,70,72.7
墨田区,Sumida-ku,68.5,73.5
江東区,Koto-ku,84.9,86.7
品川区,Shinagawa-ku,63.3,65.8
目黒区,Meguro-ku,66.2,71.6
大田区,Ota-ku,62.8,64.1
世田谷区,Setagaya-ku,53.7,56.4
渋谷区,Shibuya-ku,78.6,82
中野区,Nakano-ku,51.1,56.5
杉並区,Suginami-ku,45.1,47.5
豊島区,Toshima-ku,68.7,72.6
北区,Kita-ku,60.6,64.5
荒川区,Arakawa-ku,64.2,68.6
板橋区,Itabashi-ku,65.3,69.2
練馬区,Nerima-ku,43.7,45.5
足立区,Adachi-ku,58.4,62.7
葛飾区,Katsushika-ku,53.1,55.5
江戸川区,Edogawa-ku,59.8,62.2
