区分,ネット平成23年(Net2011)構成比(%),ネット平成28年(Net2016)構成比(%)
BP-1／官公庁施設,153.8,171.4
BP-2／教育文化施設,101.5,107.9
BP-3／厚生医療施設,194,203.8
BP-4／供給処理施設,78,92.5
BC-1／事務所建築物,433.4,486.5
BC-2／専用商業施設,208.5,217.2
BC-3／住商併用施設,206.3,214.4
BC-4／宿泊・遊興施設,423.3,496
BC-5／スポーツ・興行施設,117.1,128.4
BR-1／独立住宅,107.7,111.2
BR-2／集合住宅,248,262.9
BI-1／専用工場,117.7,120.4
BI-2／住居併用工場,153.1,155.2
BI-3／倉庫運輸関係施設,124.9,133
BA／農林漁業施設,30.3,35.7
