地域,Area,グロス平成23年(Gross2011)構成比(%),グロス平成28年(Gross2016)構成比(%)
都心,Corecenter,347.1,451.6
新宿,Shinjuku,380,417
渋谷,Shibuya,292.9,324
池袋,Ikebukuro,339.5,389.3
大崎,Osaki,302.9,373.3
上野・浅草,Ueno/Asakusa,196.1,211.6
錦糸町・亀戸,Kinshicho/Kameido,195.1,206.1
臨海地区,Waterfront,105.7,115.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
