区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H23(2011),46.8,15.9,33.2,4.0,,,,,,,,,,,
H28(2016),48.2,17.4,31.1,3.3,,,,,,,,,,,
