地域,Area,平成23年(2011)（階）,平成28年(2016)（階）
山手線内側,InsideJRYamanoteLine,3.4,3.6
環状６号線内側,InsideRingRoadNo.6,3.2,3.3
環状７号線内側,InsideRingRoadNo.7,2.8,2.9
,,,
,,,
,,,
,,,
,,,
